LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,Piloto,makeStop,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,pilotoDelante,tiempoPilotoDelante,pilotoDetras,tiempoPilotoDetras,posicionSalida,anyo,nextPit
0,1,,,,1,,max_verstappen,0,23.2,False,36.7,47.9,3,bottas,1:13.765,raikkonen,1:15.737,4.0,2018,15
01:09.911,2,SUPERSOFT,4.0,False,2,1.0,max_verstappen,1,22.7,False,37.4,47.4,3,bottas,1:09.833,raikkonen,1:10.489,4.0,2018,15
01:09.816,3,SUPERSOFT,5.0,False,1,1.0,max_verstappen,0,22.7,False,37.4,47.4,3,bottas,1:09.740,raikkonen,1:09.891,4.0,2018,15
01:09.706,4,SUPERSOFT,6.0,False,1,1.0,max_verstappen,0,22.8,False,37.6,47.3,3,bottas,1:09.657,raikkonen,1:09.837,4.0,2018,15
01:09.728,5,SUPERSOFT,7.0,False,1,1.0,max_verstappen,0,22.9,False,36.9,46.9,3,bottas,1:09.263,raikkonen,1:09.969,4.0,2018,15
01:09.617,6,SUPERSOFT,8.0,False,1,1.0,max_verstappen,0,23.2,False,36.6,46.9,3,bottas,1:09.906,raikkonen,1:09.848,4.0,2018,15
01:09.405,7,SUPERSOFT,9.0,False,1,1.0,max_verstappen,0,23.2,False,36.9,47.1,3,bottas,1:09.077,raikkonen,1:09.928,4.0,2018,15
01:09.401,8,SUPERSOFT,10.0,False,1,1.0,max_verstappen,0,23.6,False,37.7,47.2,3,bottas,1:09.140,raikkonen,1:09.890,4.0,2018,15
01:09.263,9,SUPERSOFT,11.0,False,1,1.0,max_verstappen,0,23.8,False,36.2,47.2,3,bottas,1:09.221,raikkonen,1:09.465,4.0,2018,15
01:09.320,10,SUPERSOFT,12.0,False,1,1.0,max_verstappen,0,23.6,False,36.3,47.2,3,bottas,1:09.547,raikkonen,1:09.582,4.0,2018,15
01:09.299,11,SUPERSOFT,13.0,False,1,1.0,max_verstappen,0,23.5,False,36.7,47.0,3,bottas,1:09.222,raikkonen,1:09.438,4.0,2018,15
01:09.306,12,SUPERSOFT,14.0,False,2,1.0,max_verstappen,0,23.1,False,37.4,46.9,3,bottas,1:09.044,raikkonen,1:08.954,4.0,2018,15
01:09.785,13,SUPERSOFT,15.0,False,2,1.0,max_verstappen,0,22.8,False,37.0,46.9,3,bottas,1:09.803,raikkonen,1:09.874,4.0,2018,15
01:09.133,14,SUPERSOFT,16.0,False,2,1.0,max_verstappen,0,23.0,False,37.2,46.4,2,hamilton,1:08.911,raikkonen,1:09.238,4.0,2018,15
01:27.553,15,SUPERSOFT,17.0,False,26,1.0,max_verstappen,0,22.8,False,37.7,46.6,2,hamilton,1:27.525,raikkonen,1:28.350,4.0,2018,71
01:33.857,16,SOFT,1.0,True,67,2.0,max_verstappen,1,22.5,False,38.5,46.6,2,hamilton,1:25.813,raikkonen,1:33.640,4.0,2018,71
01:08.687,17,SOFT,2.0,True,1,2.0,max_verstappen,0,22.2,False,39.4,46.7,2,hamilton,1:08.607,raikkonen,1:08.274,4.0,2018,71
01:08.682,18,SOFT,3.0,True,1,2.0,max_verstappen,0,22.2,False,39.4,46.7,2,hamilton,1:08.667,raikkonen,1:08.409,4.0,2018,71
