LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,Piloto,makeStop,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,pilotoDelante,tiempoPilotoDelante,pilotoDetras,tiempoPilotoDetras,posicionSalida,anyo,nextPit
0,1.0,,,,2,,vettel,0,28.1,False,45.9,33.2,1,perez,1:49.038,bottas,1:36.705,1.0,2018,17.0
01:40.505,2.0,,,,26,,vettel,0,28.1,False,45.7,33.3,1,max_verstappen,2:57.106,bottas,1:41.541,1.0,2018,17.0
02:10.679,3.0,SUPERSOFT,4.0,False,6,1.0,vettel,1,28.3,False,45.1,33.3,1,max_verstappen,2:08.112,bottas,2:09.303,1.0,2018,17.0
01:56.550,4.0,SUPERSOFT,5.0,False,67,1.0,vettel,0,28.3,False,44.7,33.3,1,leclerc,2:05.593,bottas,1:56.756,1.0,2018,17.0
01:35.721,5.0,SUPERSOFT,6.0,False,2,1.0,vettel,0,28.2,False,44.9,33.0,1,leclerc,1:36.911,bottas,1:36.329,1.0,2018,17.0
01:35.369,6.0,SUPERSOFT,7.0,False,2,1.0,vettel,0,28.2,False,44.9,33.1,1,leclerc,1:36.615,bottas,1:35.692,1.0,2018,17.0
01:35.521,7.0,SUPERSOFT,8.0,False,1,1.0,vettel,0,28.2,False,44.9,33.1,1,leclerc,1:37.330,bottas,1:35.756,1.0,2018,17.0
01:35.695,8.0,SUPERSOFT,9.0,False,1,1.0,vettel,0,28.2,False,45.0,32.8,1,leclerc,1:37.538,bottas,1:35.939,1.0,2018,17.0
01:35.815,9.0,SUPERSOFT,10.0,False,1,1.0,vettel,0,28.1,False,45.0,32.8,1,leclerc,1:37.514,bottas,1:35.885,1.0,2018,17.0
01:35.721,10.0,SUPERSOFT,11.0,False,1,1.0,vettel,0,28.1,False,44.6,32.8,1,perez,1:55.936,bottas,1:35.925,1.0,2018,17.0
01:35.969,11.0,SUPERSOFT,12.0,False,2,1.0,vettel,0,28.2,False,44.7,32.7,1,stroll,2:05.541,bottas,1:36.267,1.0,2018,17.0
01:36.097,12.0,SUPERSOFT,13.0,False,1,1.0,vettel,0,28.2,False,44.7,32.7,1,stroll,1:36.820,bottas,1:36.126,1.0,2018,17.0
01:36.296,13.0,SUPERSOFT,14.0,False,1,1.0,vettel,0,28.2,False,44.8,32.8,1,stroll,1:37.083,bottas,1:36.071,1.0,2018,17.0
01:36.494,14.0,SUPERSOFT,15.0,False,1,1.0,vettel,0,28.2,False,44.8,32.8,1,stroll,1:37.873,bottas,1:36.274,1.0,2018,17.0
01:36.432,15.0,SUPERSOFT,16.0,False,1,1.0,vettel,0,28.1,False,45.1,32.8,1,stroll,1:37.851,bottas,1:36.207,1.0,2018,17.0
01:36.593,16.0,SUPERSOFT,17.0,False,1,1.0,vettel,0,28.2,False,45.0,32.6,1,stroll,1:37.940,bottas,1:36.296,1.0,2018,17.0
01:39.310,17.0,SUPERSOFT,18.0,False,1,1.0,vettel,0,28.3,False,44.6,32.7,1,stroll,1:37.657,bottas,1:36.084,1.0,2018,56.0
01:54.708,18.0,SUPERSOFT,19.0,False,1,1.0,vettel,0,28.2,False,45.0,32.4,2,bottas,1:36.364,raikkonen,1:36.980,1.0,2018,56.0
01:34.696,19.0,SOFT,1.0,True,1,2.0,vettel,1,28.3,False,44.5,32.5,4,hamilton,1:36.276,brendon_hartley,1:37.988,1.0,2018,56.0
01:34.453,20.0,SOFT,2.0,True,1,2.0,vettel,0,28.3,False,44.7,32.4,3,hamilton,1:35.978,raikkonen,1:54.794,1.0,2018,56.0
01:34.661,21.0,SOFT,3.0,True,1,2.0,vettel,0,28.0,False,45.8,32.2,2,hamilton,1:36.174,bottas,1:56.583,1.0,2018,56.0
01:34.613,22.0,SOFT,4.0,True,1,2.0,vettel,0,28.1,False,46.4,32.2,2,hamilton,1:36.046,bottas,1:33.740,1.0,2018,56.0
01:35.033,23.0,SOFT,5.0,True,1,2.0,vettel,0,28.1,False,46.2,32.2,2,hamilton,1:36.113,bottas,1:34.729,1.0,2018,56.0
01:36.302,24.0,SOFT,6.0,True,1,2.0,vettel,0,28.1,False,46.4,32.2,2,hamilton,1:36.373,bottas,1:34.586,1.0,2018,56.0
01:34.589,25.0,SOFT,7.0,True,1,2.0,vettel,0,28.2,False,46.2,32.2,2,hamilton,1:36.927,bottas,1:34.430,1.0,2018,56.0
01:34.727,26.0,SOFT,8.0,True,1,2.0,vettel,0,28.1,False,46.6,32.2,1,sirotkin,1:36.771,bottas,1:35.012,1.0,2018,56.0
01:34.944,27.0,SOFT,9.0,True,2,2.0,vettel,0,28.1,False,46.4,32.2,1,sirotkin,1:36.900,bottas,1:34.999,1.0,2018,56.0
01:34.953,28.0,SOFT,10.0,True,1,2.0,vettel,0,28.1,False,46.4,32.0,1,sirotkin,1:36.805,bottas,1:34.633,1.0,2018,56.0
