LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,Piloto,makeStop,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,pilotoDelante,tiempoPilotoDelante,pilotoDetras,tiempoPilotoDetras,posicionSalida,anyo,nextPit
0,1.0,,,,26,,hamilton,0,21.7,True,67.0,29.5,2,raikkonen,1:47.025,max_verstappen,1:51.041,3.0,2018,28.0
02:15.751,2.0,SUPERSOFT,4.0,False,67,1.0,hamilton,1,21.8,False,66.2,30.3,2,raikkonen,2:17.567,max_verstappen,2:16.204,3.0,2018,28.0
02:07.904,3.0,SUPERSOFT,5.0,False,74,1.0,hamilton,0,21.9,False,65.9,30.5,2,raikkonen,2:09.263,max_verstappen,2:07.530,3.0,2018,28.0
01:26.009,4.0,SUPERSOFT,6.0,False,1,1.0,hamilton,0,22.2,False,64.3,30.9,2,raikkonen,1:25.439,max_verstappen,1:26.555,3.0,2018,28.0
01:25.027,5.0,SUPERSOFT,7.0,False,1,1.0,hamilton,0,22.3,False,63.7,30.9,2,raikkonen,1:24.871,max_verstappen,1:25.615,3.0,2018,28.0
01:24.827,6.0,SUPERSOFT,8.0,False,1,1.0,hamilton,0,22.3,False,64.1,30.2,2,raikkonen,1:24.859,max_verstappen,1:25.475,3.0,2018,28.0
01:24.751,7.0,SUPERSOFT,9.0,False,1,1.0,hamilton,0,22.3,False,64.3,30.4,2,raikkonen,1:24.538,max_verstappen,1:25.116,3.0,2018,28.0
01:24.557,8.0,SUPERSOFT,10.0,False,1,1.0,hamilton,0,22.4,False,64.0,30.4,2,raikkonen,1:24.631,max_verstappen,1:24.976,3.0,2018,28.0
01:24.349,9.0,SUPERSOFT,11.0,False,1,1.0,hamilton,0,22.5,False,64.3,30.4,2,raikkonen,1:24.500,max_verstappen,1:25.145,3.0,2018,28.0
01:24.918,10.0,SUPERSOFT,12.0,False,1,1.0,hamilton,0,22.5,False,64.1,30.4,2,raikkonen,1:24.686,max_verstappen,1:25.040,3.0,2018,28.0
01:24.823,11.0,SUPERSOFT,13.0,False,1,1.0,hamilton,0,22.5,False,63.7,30.3,2,raikkonen,1:24.782,max_verstappen,1:25.295,3.0,2018,28.0
01:24.839,12.0,SUPERSOFT,14.0,False,1,1.0,hamilton,0,22.2,False,64.9,30.2,2,raikkonen,1:24.978,max_verstappen,1:25.189,3.0,2018,28.0
01:24.709,13.0,SUPERSOFT,15.0,False,1,1.0,hamilton,0,22.2,False,64.6,30.1,2,raikkonen,1:24.648,max_verstappen,1:25.210,3.0,2018,28.0
01:24.666,14.0,SUPERSOFT,16.0,False,1,1.0,hamilton,0,22.1,False,64.8,30.1,2,raikkonen,1:24.512,max_verstappen,1:25.135,3.0,2018,28.0
01:24.747,15.0,SUPERSOFT,17.0,False,1,1.0,hamilton,0,22.2,False,64.9,30.2,2,raikkonen,1:24.582,max_verstappen,1:25.080,3.0,2018,28.0
01:24.674,16.0,SUPERSOFT,18.0,False,1,1.0,hamilton,0,22.4,False,63.9,30.4,2,raikkonen,1:24.956,max_verstappen,1:24.966,3.0,2018,28.0
01:24.545,17.0,SUPERSOFT,19.0,False,1,1.0,hamilton,0,22.4,False,64.2,30.1,2,raikkonen,1:24.742,max_verstappen,1:24.904,3.0,2018,28.0
01:24.825,18.0,SUPERSOFT,20.0,False,1,1.0,hamilton,0,22.4,False,64.2,30.2,2,raikkonen,1:24.839,max_verstappen,1:24.980,3.0,2018,28.0
01:24.560,19.0,SUPERSOFT,21.0,False,1,1.0,hamilton,0,22.3,False,63.6,29.8,2,raikkonen,1:24.516,max_verstappen,1:25.159,3.0,2018,28.0
01:24.448,20.0,SUPERSOFT,22.0,False,1,1.0,hamilton,0,22.1,False,63.3,29.5,1,kevin_magnussen,1:29.218,raikkonen,1:29.105,3.0,2018,28.0
01:23.611,21.0,SUPERSOFT,23.0,False,1,1.0,hamilton,0,22.2,False,63.6,29.8,1,kevin_magnussen,1:26.733,max_verstappen,1:25.027,3.0,2018,28.0
01:23.996,22.0,SUPERSOFT,24.0,False,1,1.0,hamilton,0,22.2,False,63.6,29.8,1,kevin_magnussen,1:26.569,max_verstappen,1:25.310,3.0,2018,28.0
