LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,Piloto,makeStop,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,pilotoDelante,tiempoPilotoDelante,pilotoDetras,tiempoPilotoDetras,posicionSalida,anyo,nextPit
0,1.0,,,,1,,vettel,0,24.2,False,36.3,38.2,3,raikkonen,1:35.474,kevin_magnussen,1:37.107,3.0,2018,26.0
01:30.562,2.0,ULTRASOFT,4.0,False,1,1.0,vettel,1,23.9,False,36.5,36.7,3,raikkonen,1:30.266,kevin_magnussen,1:30.830,3.0,2018,26.0
01:30.177,3.0,ULTRASOFT,5.0,False,1,1.0,vettel,0,23.9,False,36.3,36.8,3,raikkonen,1:29.856,kevin_magnussen,1:31.235,3.0,2018,26.0
01:29.610,4.0,ULTRASOFT,6.0,False,1,1.0,vettel,0,23.5,False,36.3,36.4,3,raikkonen,1:29.550,kevin_magnussen,1:30.547,3.0,2018,26.0
01:29.540,5.0,ULTRASOFT,7.0,False,1,1.0,vettel,0,23.4,False,36.5,36.3,3,raikkonen,1:29.740,kevin_magnussen,1:30.518,3.0,2018,26.0
01:30.497,6.0,ULTRASOFT,8.0,False,2,1.0,vettel,0,23.5,False,36.7,36.4,3,raikkonen,1:30.432,kevin_magnussen,1:30.984,3.0,2018,26.0
01:30.177,7.0,ULTRASOFT,9.0,False,2,1.0,vettel,0,23.8,False,35.6,37.5,3,raikkonen,1:29.944,kevin_magnussen,1:30.577,3.0,2018,26.0
01:29.481,8.0,ULTRASOFT,10.0,False,1,1.0,vettel,0,23.9,False,35.9,38.0,3,raikkonen,1:29.593,kevin_magnussen,1:30.252,3.0,2018,26.0
01:29.375,9.0,ULTRASOFT,11.0,False,1,1.0,vettel,0,24.1,False,35.1,38.0,3,raikkonen,1:29.003,kevin_magnussen,1:30.445,3.0,2018,26.0
01:28.665,10.0,ULTRASOFT,12.0,False,2,1.0,vettel,0,23.9,False,35.3,37.9,3,raikkonen,1:28.906,kevin_magnussen,1:30.610,3.0,2018,26.0
01:29.025,11.0,ULTRASOFT,13.0,False,1,1.0,vettel,0,24.0,False,35.0,37.1,3,raikkonen,1:28.485,kevin_magnussen,1:30.500,3.0,2018,26.0
01:28.405,12.0,ULTRASOFT,14.0,False,1,1.0,vettel,0,23.9,False,35.6,36.3,3,raikkonen,1:28.817,kevin_magnussen,1:30.050,3.0,2018,26.0
01:29.109,13.0,ULTRASOFT,15.0,False,1,1.0,vettel,0,23.9,False,35.6,36.2,3,raikkonen,1:28.429,kevin_magnussen,1:30.115,3.0,2018,26.0
01:28.801,14.0,ULTRASOFT,16.0,False,1,1.0,vettel,0,23.7,False,35.6,37.2,3,raikkonen,1:28.313,kevin_magnussen,1:30.118,3.0,2018,26.0
01:28.685,15.0,ULTRASOFT,17.0,False,1,1.0,vettel,0,23.9,False,35.2,37.7,3,raikkonen,1:28.457,kevin_magnussen,1:30.104,3.0,2018,26.0
01:28.704,16.0,ULTRASOFT,18.0,False,1,1.0,vettel,0,24.3,False,34.4,38.4,3,raikkonen,1:27.982,kevin_magnussen,1:29.852,3.0,2018,26.0
01:28.596,17.0,ULTRASOFT,19.0,False,1,1.0,vettel,0,24.4,False,33.8,38.4,3,raikkonen,1:28.216,kevin_magnussen,1:30.446,3.0,2018,26.0
01:28.534,18.0,ULTRASOFT,20.0,False,1,1.0,vettel,0,24.0,False,34.4,38.6,2,hamilton,1:27.852,raikkonen,1:45.858,3.0,2018,26.0
01:28.488,19.0,ULTRASOFT,21.0,False,1,1.0,vettel,0,24.0,False,35.0,38.6,1,brendon_hartley,1:31.105,hamilton,1:45.050,3.0,2018,26.0
01:28.245,20.0,ULTRASOFT,22.0,False,1,1.0,vettel,0,24.1,False,34.5,38.5,1,leclerc,1:48.767,hamilton,1:32.966,3.0,2018,26.0
01:28.561,21.0,ULTRASOFT,23.0,False,1,1.0,vettel,0,24.1,False,34.5,38.3,1,leclerc,1:34.359,hamilton,1:27.954,3.0,2018,26.0
01:28.515,22.0,ULTRASOFT,24.0,False,1,1.0,vettel,0,24.1,False,34.9,38.4,1,brendon_hartley,2:01.527,hamilton,1:28.821,3.0,2018,26.0
