LapTime,LapNumber,TyreLife,FreshTyre,TrackStatus,Stint,Piloto,makeStop,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,tiempoPilotoDelante,tiempoPilotoDetras,posicionSalida,anyo,nextPit,compound_HARD,compound_MEDIUM,compound_SOFT,compound_SUPERSOFT,compound_ULTRASOFT
69.911,2,4.0,0,2,1.0,max_verstappen,1,22.7,0,37.4,47.4,3.0,69.833,70.489,4.0,2018,15,0,0,0,1,0
69.816,3,5.0,0,1,1.0,max_verstappen,0,22.7,0,37.4,47.4,3.0,69.074,69.891,4.0,2018,15,0,0,0,1,0
69.706,4,6.0,0,1,1.0,max_verstappen,0,22.8,0,37.6,47.3,3.0,69.657,69.837,4.0,2018,15,0,0,0,1,0
69.728,5,7.0,0,1,1.0,max_verstappen,0,22.9,0,36.9,46.9,3.0,69.263,69.969,4.0,2018,15,0,0,0,1,0
69.617,6,8.0,0,1,1.0,max_verstappen,0,23.2,0,36.6,46.9,3.0,69.906,69.848,4.0,2018,15,0,0,0,1,0
69.405,7,9.0,0,1,1.0,max_verstappen,0,23.2,0,36.9,47.1,3.0,69.077,69.928,4.0,2018,15,0,0,0,1,0
69.401,8,10.0,0,1,1.0,max_verstappen,0,23.6,0,37.7,47.2,3.0,69.014,69.089,4.0,2018,15,0,0,0,1,0
69.263,9,11.0,0,1,1.0,max_verstappen,0,23.8,0,36.2,47.2,3.0,69.221,69.465,4.0,2018,15,0,0,0,1,0
69.032,10,12.0,0,1,1.0,max_verstappen,0,23.6,0,36.3,47.2,3.0,69.547,69.582,4.0,2018,15,0,0,0,1,0
69.299,11,13.0,0,1,1.0,max_verstappen,0,23.5,0,36.7,47.0,3.0,69.222,69.438,4.0,2018,15,0,0,0,1,0
69.306,12,14.0,0,2,1.0,max_verstappen,0,23.1,0,37.4,46.9,3.0,69.044,68.954,4.0,2018,15,0,0,0,1,0
69.785,13,15.0,0,2,1.0,max_verstappen,0,22.8,0,37.0,46.9,3.0,69.803,69.874,4.0,2018,15,0,0,0,1,0
69.133,14,16.0,0,2,1.0,max_verstappen,0,23.0,0,37.2,46.4,2.0,68.911,69.238,4.0,2018,15,0,0,0,1,0
87.553,15,17.0,0,26,1.0,max_verstappen,0,22.8,0,37.7,46.6,2.0,87.525,88.035,4.0,2018,71,0,0,0,1,0
93.857,16,1.0,1,67,2.0,max_verstappen,1,22.5,0,38.5,46.6,2.0,85.813,93.064,4.0,2018,71,0,0,1,0,0
68.687,17,2.0,1,1,2.0,max_verstappen,0,22.2,0,39.4,46.7,2.0,68.607,68.274,4.0,2018,71,0,0,1,0,0
68.682,18,3.0,1,1,2.0,max_verstappen,0,22.2,0,39.4,46.7,2.0,68.667,68.409,4.0,2018,71,0,0,1,0,0
68.736,19,4.0,1,1,2.0,max_verstappen,0,22.6,0,39.5,46.7,2.0,68.718,68.465,4.0,2018,71,0,0,1,0,0
69.037,20,5.0,1,1,2.0,max_verstappen,0,22.9,0,38.0,46.7,2.0,68.915,68.201,4.0,2018,71,0,0,1,0,0
68.445,21,6.0,1,1,2.0,max_verstappen,0,23.0,0,37.9,46.6,2.0,68.419,68.058,4.0,2018,71,0,0,1,0,0
68.557,22,7.0,1,1,2.0,max_verstappen,0,23.1,0,38.3,46.4,2.0,68.607,68.656,4.0,2018,71,0,0,1,0,0
68.451,23,8.0,1,1,2.0,max_verstappen,0,22.7,0,38.5,44.6,2.0,68.827,68.808,4.0,2018,71,0,0,1,0,0
68.429,24,9.0,1,1,2.0,max_verstappen,0,22.8,0,38.3,44.2,2.0,68.343,68.696,4.0,2018,71,0,0,1,0,0
68.365,25,10.0,1,1,2.0,max_verstappen,0,22.8,0,38.4,45.1,2.0,72.025,68.525,4.0,2018,71,0,0,1,0,0
68.509,26,11.0,1,1,2.0,max_verstappen,0,23.1,0,38.3,45.2,1.0,70.407,68.585,4.0,2018,71,0,0,1,0,0
68.351,27,12.0,1,1,2.0,max_verstappen,0,23.0,0,37.4,45.2,1.0,70.543,68.389,4.0,2018,71,0,0,1,0,0
68.461,28,13.0,1,1,2.0,max_verstappen,0,22.6,0,38.7,45.4,1.0,70.537,68.745,4.0,2018,71,0,0,1,0,0
68.784,29,14.0,1,1,2.0,max_verstappen,0,22.8,0,38.1,45.5,1.0,71.855,68.886,4.0,2018,71,0,0,1,0,0
68.376,30,15.0,1,1,2.0,max_verstappen,0,22.7,0,38.2,45.5,1.0,70.264,68.676,4.0,2018,71,0,0,1,0,0
68.302,31,16.0,1,1,2.0,max_verstappen,0,22.4,0,39.5,45.7,1.0,70.323,68.681,4.0,2018,71,0,0,1,0,0
68.417,32,17.0,1,1,2.0,max_verstappen,0,22.9,0,38.4,46.1,1.0,72.007,68.592,4.0,2018,71,0,0,1,0,0
68.475,33,18.0,1,1,2.0,max_verstappen,0,23.3,0,37.6,46.1,1.0,72.219,68.071,4.0,2018,71,0,0,1,0,0
68.689,34,19.0,1,1,2.0,max_verstappen,0,23.4,0,37.3,45.7,1.0,72.214,68.735,4.0,2018,71,0,0,1,0,0
68.594,35,20.0,1,1,2.0,max_verstappen,0,23.4,0,36.4,45.7,1.0,74.141,68.816,4.0,2018,71,0,0,1,0,0
68.428,36,21.0,1,1,2.0,max_verstappen,0,23.0,0,37.2,45.7,1.0,71.994,68.809,4.0,2018,71,0,0,1,0,0
68.912,37,22.0,1,1,2.0,max_verstappen,0,22.9,0,37.7,45.6,1.0,69.915,69.178,4.0,2018,71,0,0,1,0,0
68.815,38,23.0,1,1,2.0,max_verstappen,0,23.2,0,37.0,45.7,1.0,69.871,69.072,4.0,2018,71,0,0,1,0,0
68.566,39,24.0,1,1,2.0,max_verstappen,0,23.1,0,36.6,45.9,1.0,69.082,68.546,4.0,2018,71,0,0,1,0,0
68.719,40,25.0,1,1,2.0,max_verstappen,0,23.4,0,36.9,46.0,1.0,75.066,68.395,4.0,2018,71,0,0,1,0,0
68.713,41,26.0,1,1,2.0,max_verstappen,0,23.7,0,35.4,46.1,1.0,88.282,68.082,4.0,2018,71,0,0,1,0,0
68.471,42,27.0,1,1,2.0,max_verstappen,0,23.7,0,34.7,46.0,1.0,69.159,68.585,4.0,2018,71,0,0,1,0,0
68.558,43,28.0,1,1,2.0,max_verstappen,0,23.5,0,35.0,45.2,1.0,69.303,68.348,4.0,2018,71,0,0,1,0,0
68.873,44,29.0,1,1,2.0,max_verstappen,0,22.9,0,36.1,45.4,1.0,69.044,68.543,4.0,2018,71,0,0,1,0,0
68.371,45,30.0,1,1,2.0,max_verstappen,0,22.5,0,36.8,45.5,1.0,69.636,68.215,4.0,2018,71,0,0,1,0,0
68.134,46,31.0,1,1,2.0,max_verstappen,0,22.7,0,36.5,45.0,1.0,69.007,68.248,4.0,2018,71,0,0,1,0,0
