LapTime,LapNumber,TyreLife,FreshTyre,TrackStatus,Stint,Piloto,makeStop,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,tiempoPilotoDelante,tiempoPilotoDetras,posicionSalida,anyo,nextPit,compound_HARD,compound_MEDIUM,compound_SOFT,compound_SUPERSOFT
130.679,3.0,4.0,0,6,1.0,vettel,1,28.3,0,45.1,33.3,1.0,128.112,129.303,1.0,2018,17.0,0,0,0,1
116.055,4.0,5.0,0,67,1.0,vettel,0,28.3,0,44.7,33.3,1.0,125.593,116.756,1.0,2018,17.0,0,0,0,1
95.721,5.0,6.0,0,2,1.0,vettel,0,28.2,0,44.9,33.0,1.0,96.911,96.329,1.0,2018,17.0,0,0,0,1
95.369,6.0,7.0,0,2,1.0,vettel,0,28.2,0,44.9,33.1,1.0,96.615,95.692,1.0,2018,17.0,0,0,0,1
95.521,7.0,8.0,0,1,1.0,vettel,0,28.2,0,44.9,33.1,1.0,97.033,95.756,1.0,2018,17.0,0,0,0,1
95.695,8.0,9.0,0,1,1.0,vettel,0,28.2,0,45.0,32.8,1.0,97.538,95.939,1.0,2018,17.0,0,0,0,1
95.815,9.0,10.0,0,1,1.0,vettel,0,28.1,0,45.0,32.8,1.0,97.514,95.885,1.0,2018,17.0,0,0,0,1
95.721,10.0,11.0,0,1,1.0,vettel,0,28.1,0,44.6,32.8,1.0,115.936,95.925,1.0,2018,17.0,0,0,0,1
95.969,11.0,12.0,0,2,1.0,vettel,0,28.2,0,44.7,32.7,1.0,125.541,96.267,1.0,2018,17.0,0,0,0,1
96.097,12.0,13.0,0,1,1.0,vettel,0,28.2,0,44.7,32.7,1.0,96.082,96.126,1.0,2018,17.0,0,0,0,1
96.296,13.0,14.0,0,1,1.0,vettel,0,28.2,0,44.8,32.8,1.0,97.083,96.071,1.0,2018,17.0,0,0,0,1
96.494,14.0,15.0,0,1,1.0,vettel,0,28.2,0,44.8,32.8,1.0,97.873,96.274,1.0,2018,17.0,0,0,0,1
96.432,15.0,16.0,0,1,1.0,vettel,0,28.1,0,45.1,32.8,1.0,97.851,96.207,1.0,2018,17.0,0,0,0,1
96.593,16.0,17.0,0,1,1.0,vettel,0,28.2,0,45.0,32.6,1.0,97.094,96.296,1.0,2018,17.0,0,0,0,1
99.031,17.0,18.0,0,1,1.0,vettel,0,28.3,0,44.6,32.7,1.0,97.657,96.084,1.0,2018,56.0,0,0,0,1
114.708,18.0,19.0,0,1,1.0,vettel,0,28.2,0,45.0,32.4,2.0,96.364,96.098,1.0,2018,56.0,0,0,0,1
94.696,19.0,1.0,1,1,2.0,vettel,1,28.3,0,44.5,32.5,4.0,96.276,97.988,1.0,2018,56.0,0,0,1,0
94.453,20.0,2.0,1,1,2.0,vettel,0,28.3,0,44.7,32.4,3.0,95.978,114.794,1.0,2018,56.0,0,0,1,0
94.661,21.0,3.0,1,1,2.0,vettel,0,28.0,0,45.8,32.2,2.0,96.174,116.583,1.0,2018,56.0,0,0,1,0
94.613,22.0,4.0,1,1,2.0,vettel,0,28.1,0,46.4,32.2,2.0,96.046,93.074,1.0,2018,56.0,0,0,1,0
95.033,23.0,5.0,1,1,2.0,vettel,0,28.1,0,46.2,32.2,2.0,96.113,94.729,1.0,2018,56.0,0,0,1,0
96.302,24.0,6.0,1,1,2.0,vettel,0,28.1,0,46.4,32.2,2.0,96.373,94.586,1.0,2018,56.0,0,0,1,0
