LapTime,LapNumber,TyreLife,FreshTyre,TrackStatus,Stint,Piloto,makeStop,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,tiempoPilotoDelante,tiempoPilotoDetras,posicionSalida,anyo,nextPit,compound_HARD,compound_INTERMEDIATE,compound_MEDIUM,compound_SOFT,compound_SUPERSOFT,compound_WET
135.751,2.0,4.0,0,67,1.0,hamilton,1,21.8,0,66.2,30.3,2.0,137.567,136.204,3.0,2018,28.0,0,0,0,0,1,0
127.904,3.0,5.0,0,74,1.0,hamilton,0,21.9,0,65.9,30.5,2.0,129.263,127.053,3.0,2018,28.0,0,0,0,0,1,0
86.009,4.0,6.0,0,1,1.0,hamilton,0,22.2,0,64.3,30.9,2.0,85.439,86.555,3.0,2018,28.0,0,0,0,0,1,0
85.027,5.0,7.0,0,1,1.0,hamilton,0,22.3,0,63.7,30.9,2.0,84.871,85.615,3.0,2018,28.0,0,0,0,0,1,0
84.827,6.0,8.0,0,1,1.0,hamilton,0,22.3,0,64.1,30.2,2.0,84.859,85.475,3.0,2018,28.0,0,0,0,0,1,0
84.751,7.0,9.0,0,1,1.0,hamilton,0,22.3,0,64.3,30.4,2.0,84.538,85.116,3.0,2018,28.0,0,0,0,0,1,0
84.557,8.0,10.0,0,1,1.0,hamilton,0,22.4,0,64.0,30.4,2.0,84.631,84.976,3.0,2018,28.0,0,0,0,0,1,0
84.349,9.0,11.0,0,1,1.0,hamilton,0,22.5,0,64.3,30.4,2.0,84.005,85.145,3.0,2018,28.0,0,0,0,0,1,0
84.918,10.0,12.0,0,1,1.0,hamilton,0,22.5,0,64.1,30.4,2.0,84.686,85.004,3.0,2018,28.0,0,0,0,0,1,0
84.823,11.0,13.0,0,1,1.0,hamilton,0,22.5,0,63.7,30.3,2.0,84.782,85.295,3.0,2018,28.0,0,0,0,0,1,0
84.839,12.0,14.0,0,1,1.0,hamilton,0,22.2,0,64.9,30.2,2.0,84.978,85.189,3.0,2018,28.0,0,0,0,0,1,0
84.709,13.0,15.0,0,1,1.0,hamilton,0,22.2,0,64.6,30.1,2.0,84.648,85.021,3.0,2018,28.0,0,0,0,0,1,0
84.666,14.0,16.0,0,1,1.0,hamilton,0,22.1,0,64.8,30.1,2.0,84.512,85.135,3.0,2018,28.0,0,0,0,0,1,0
84.747,15.0,17.0,0,1,1.0,hamilton,0,22.2,0,64.9,30.2,2.0,84.582,85.008,3.0,2018,28.0,0,0,0,0,1,0
84.674,16.0,18.0,0,1,1.0,hamilton,0,22.4,0,63.9,30.4,2.0,84.956,84.966,3.0,2018,28.0,0,0,0,0,1,0
84.545,17.0,19.0,0,1,1.0,hamilton,0,22.4,0,64.2,30.1,2.0,84.742,84.904,3.0,2018,28.0,0,0,0,0,1,0
84.825,18.0,20.0,0,1,1.0,hamilton,0,22.4,0,64.2,30.2,2.0,84.839,84.098,3.0,2018,28.0,0,0,0,0,1,0
84.056,19.0,21.0,0,1,1.0,hamilton,0,22.3,0,63.6,29.8,2.0,84.516,85.159,3.0,2018,28.0,0,0,0,0,1,0
84.448,20.0,22.0,0,1,1.0,hamilton,0,22.1,0,63.3,29.5,1.0,89.218,89.105,3.0,2018,28.0,0,0,0,0,1,0
83.611,21.0,23.0,0,1,1.0,hamilton,0,22.2,0,63.6,29.8,1.0,86.733,85.027,3.0,2018,28.0,0,0,0,0,1,0
83.996,22.0,24.0,0,1,1.0,hamilton,0,22.2,0,63.6,29.8,1.0,86.569,85.031,3.0,2018,28.0,0,0,0,0,1,0
83.974,23.0,25.0,0,1,1.0,hamilton,0,22.3,0,63.1,30.0,1.0,86.917,85.021,3.0,2018,28.0,0,0,0,0,1,0
84.847,24.0,26.0,0,1,1.0,hamilton,0,22.4,0,63.5,30.0,1.0,88.159,85.018,3.0,2018,28.0,0,0,0,0,1,0
