LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,AirTemp,Rainfall,TrackTemp,posicionActual,posicionSalida,circuitName,desgasteCircuito,vueltasCircuito,kmCircuitoTotales,nextPit
0,1,MEDIUM,1.0,True,1,1,20.3,False,30.3,10,10.0,Red Bull Ring,Medio,71,306.452,14
01:12.967,2,MEDIUM,2.0,True,1,1,20.4,False,30.3,10,10.0,Red Bull Ring,Medio,71,306.452,14
01:11.719,3,MEDIUM,3.0,True,1,1,20.3,False,30.3,10,10.0,Red Bull Ring,Medio,71,306.452,14
01:11.325,4,MEDIUM,4.0,True,1,1,20.4,False,30.2,10,10.0,Red Bull Ring,Medio,71,306.452,14
01:11.415,5,MEDIUM,5.0,True,1,1,20.4,False,30.2,9,10.0,Red Bull Ring,Medio,71,306.452,14
01:11.651,6,MEDIUM,6.0,True,1,1,20.4,False,29.9,9,10.0,Red Bull Ring,Medio,71,306.452,14
01:11.648,7,MEDIUM,7.0,True,1,1,20.4,False,29.9,9,10.0,Red Bull Ring,Medio,71,306.452,14
01:11.615,8,MEDIUM,8.0,True,1,1,20.4,False,29.4,9,10.0,Red Bull Ring,Medio,71,306.452,14
01:11.332,9,MEDIUM,9.0,True,1,1,20.4,False,30.4,9,10.0,Red Bull Ring,Medio,71,306.452,14
01:11.560,10,MEDIUM,10.0,True,1,1,20.3,False,30.8,9,10.0,Red Bull Ring,Medio,71,306.452,14
01:11.622,11,MEDIUM,11.0,True,1,1,20.5,False,30.7,9,10.0,Red Bull Ring,Medio,71,306.452,14
01:11.698,12,MEDIUM,12.0,True,1,1,20.5,False,29.8,8,10.0,Red Bull Ring,Medio,71,306.452,14
01:12.127,13,MEDIUM,13.0,True,1,1,20.4,False,29.8,8,10.0,Red Bull Ring,Medio,71,306.452,14
01:15.224,14,MEDIUM,14.0,True,1,1,20.4,False,29.3,8,10.0,Red Bull Ring,Medio,71,306.452,14
01:29.144,15,HARD,1.0,True,1,3,20.3,False,29.1,13,10.0,Red Bull Ring,Medio,71,306.452,43
01:10.689,16,HARD,2.0,True,1,3,20.1,False,29.0,13,10.0,Red Bull Ring,Medio,71,306.452,43
01:10.853,17,HARD,3.0,True,1,3,20.1,False,29.0,12,10.0,Red Bull Ring,Medio,71,306.452,43
01:10.522,18,HARD,4.0,True,1,3,19.8,False,28.5,12,10.0,Red Bull Ring,Medio,71,306.452,43
01:10.686,19,HARD,5.0,True,1,3,19.8,False,28.5,12,10.0,Red Bull Ring,Medio,71,306.452,43
01:11.005,20,HARD,6.0,True,1,3,19.8,False,28.8,11,10.0,Red Bull Ring,Medio,71,306.452,43
01:11.213,21,HARD,7.0,True,1,3,19.8,False,28.8,11,10.0,Red Bull Ring,Medio,71,306.452,43
01:11.736,22,HARD,8.0,True,1,3,19.9,False,28.8,11,10.0,Red Bull Ring,Medio,71,306.452,43
01:11.961,23,HARD,9.0,True,1,3,20.1,False,29.8,11,10.0,Red Bull Ring,Medio,71,306.452,43
01:12.346,24,HARD,10.0,True,1,3,20.1,False,29.8,9,10.0,Red Bull Ring,Medio,71,306.452,43
01:11.826,25,HARD,11.0,True,1,3,20.2,False,29.4,9,10.0,Red Bull Ring,Medio,71,306.452,43
01:12.112,26,HARD,12.0,True,1,3,20.2,False,29.4,8,10.0,Red Bull Ring,Medio,71,306.452,43
01:12.428,27,HARD,13.0,True,1,3,20.2,False,29.9,9,10.0,Red Bull Ring,Medio,71,306.452,43
01:11.351,28,HARD,14.0,True,1,3,20.4,False,30.4,9,10.0,Red Bull Ring,Medio,71,306.452,43
01:11.473,29,HARD,15.0,True,1,3,20.3,False,31.1,9,10.0,Red Bull Ring,Medio,71,306.452,43
01:11.348,30,HARD,16.0,True,1,3,20.3,False,31.6,8,10.0,Red Bull Ring,Medio,71,306.452,43
01:11.489,31,HARD,17.0,True,1,3,20.3,False,31.6,8,10.0,Red Bull Ring,Medio,71,306.452,43
01:11.609,32,HARD,18.0,True,1,3,20.3,False,31.2,8,10.0,Red Bull Ring,Medio,71,306.452,43
01:11.883,33,HARD,19.0,True,1,3,20.4,False,31.9,8,10.0,Red Bull Ring,Medio,71,306.452,43
01:11.514,34,HARD,20.0,True,1,3,20.4,False,32.3,8,10.0,Red Bull Ring,Medio,71,306.452,43
01:11.256,35,HARD,21.0,True,1,3,20.5,False,32.9,8,10.0,Red Bull Ring,Medio,71,306.452,43
01:11.661,36,HARD,22.0,True,1,3,20.7,False,33.0,8,10.0,Red Bull Ring,Medio,71,306.452,43
01:11.274,37,HARD,23.0,True,1,3,20.8,False,33.6,8,10.0,Red Bull Ring,Medio,71,306.452,43
01:11.560,38,HARD,24.0,True,1,3,20.8,False,33.6,8,10.0,Red Bull Ring,Medio,71,306.452,43
01:11.648,39,HARD,25.0,True,2,3,20.7,False,33.2,8,10.0,Red Bull Ring,Medio,71,306.452,43
01:12.223,40,HARD,26.0,True,2,3,20.7,False,33.2,8,10.0,Red Bull Ring,Medio,71,306.452,43
01:11.558,41,HARD,27.0,True,1,3,20.7,False,33.2,7,10.0,Red Bull Ring,Medio,71,306.452,43
01:11.844,42,HARD,28.0,True,1,3,20.6,False,33.1,7,10.0,Red Bull Ring,Medio,71,306.452,43
01:14.820,43,HARD,29.0,True,1,3,20.7,False,33.8,7,10.0,Red Bull Ring,Medio,71,306.452,70
01:34.031,44,HARD,30.0,True,1,3,20.8,False,34.3,14,10.0,Red Bull Ring,Medio,71,306.452,70
01:10.475,45,HARD,31.0,True,1,3,20.9,False,34.3,13,10.0,Red Bull Ring,Medio,71,306.452,70
01:10.137,46,HARD,32.0,True,1,3,21.0,False,34.3,11,10.0,Red Bull Ring,Medio,71,306.452,70
01:10.409,47,HARD,33.0,True,1,3,21.0,False,34.1,11,10.0,Red Bull Ring,Medio,71,306.452,70
01:10.681,48,HARD,34.0,True,1,3,21.1,False,34.3,10,10.0,Red Bull Ring,Medio,71,306.452,70
01:10.275,49,HARD,35.0,True,1,3,20.9,False,34.4,10,10.0,Red Bull Ring,Medio,71,306.452,70
01:10.182,50,HARD,36.0,True,1,3,20.8,False,34.4,10,10.0,Red Bull Ring,Medio,71,306.452,70
01:09.919,51,HARD,37.0,True,1,3,20.8,False,34.0,10,10.0,Red Bull Ring,Medio,71,306.452,70
01:09.985,52,HARD,38.0,True,1,3,20.9,False,33.8,10,10.0,Red Bull Ring,Medio,71,306.452,70
01:10.045,53,HARD,39.0,True,1,3,20.9,False,32.6,10,10.0,Red Bull Ring,Medio,71,306.452,70
01:10.047,54,HARD,40.0,True,1,3,20.9,False,32.3,10,10.0,Red Bull Ring,Medio,71,306.452,70
01:09.938,55,HARD,41.0,True,1,3,20.8,False,31.9,10,10.0,Red Bull Ring,Medio,71,306.452,70
01:10.145,56,HARD,42.0,True,2,3,20.6,False,31.8,10,10.0,Red Bull Ring,Medio,71,306.452,70
01:23.633,57,HARD,43.0,True,26,3,20.3,False,31.8,9,10.0,Red Bull Ring,Medio,71,306.452,70
01:35.041,58,HARD,44.0,True,6,3,20.3,False,31.5,8,10.0,Red Bull Ring,Medio,71,306.452,70
01:14.172,59,HARD,45.0,True,67,3,20.4,False,31.2,8,10.0,Red Bull Ring,Medio,71,306.452,70
01:09.857,60,HARD,46.0,True,1,3,20.2,False,30.9,8,10.0,Red Bull Ring,Medio,71,306.452,70
01:09.861,61,HARD,47.0,True,1,3,20.3,False,31.2,8,10.0,Red Bull Ring,Medio,71,306.452,70
01:09.304,62,HARD,48.0,True,1,3,20.4,False,31.1,7,10.0,Red Bull Ring,Medio,71,306.452,70
01:10.010,63,HARD,49.0,True,1,3,20.4,False,30.8,7,10.0,Red Bull Ring,Medio,71,306.452,70
01:10.270,64,HARD,50.0,True,1,3,20.5,False,30.8,7,10.0,Red Bull Ring,Medio,71,306.452,70
01:10.264,65,HARD,51.0,True,1,3,20.4,False,30.6,7,10.0,Red Bull Ring,Medio,71,306.452,70
01:11.214,66,HARD,52.0,True,1,3,20.0,False,30.6,7,10.0,Red Bull Ring,Medio,71,306.452,70
01:12.088,67,HARD,53.0,True,1,3,19.8,False,30.6,7,10.0,Red Bull Ring,Medio,71,306.452,70
01:10.270,68,HARD,54.0,True,1,3,19.9,False,30.6,7,10.0,Red Bull Ring,Medio,71,306.452,70
01:10.207,69,HARD,55.0,True,1,3,19.9,False,30.8,7,10.0,Red Bull Ring,Medio,71,306.452,70
01:10.103,70,HARD,56.0,True,1,3,20.0,False,31.4,7,10.0,Red Bull Ring,Medio,71,306.452,70
