LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,AirTemp,Humidity,Rainfall,TrackTemp,posicionActual,pilotoDelante,tiempoPilotoDelante,pilotoDetras,tiempoPilotoDetras,posicionSalida,nextPit
0,1,MEDIUM,1.0,True,1,1,20.3,37.0,False,30.3,13,raikkonen,1:20.858,latifi,1:21.526,11.0,12
01:12.671,2,MEDIUM,2.0,True,1,1,20.4,37.0,False,30.3,13,raikkonen,1:19.846,latifi,1:20.126,11.0,12
01:11.550,3,MEDIUM,3.0,True,1,1,20.3,36.0,False,30.3,13,raikkonen,1:19.102,latifi,1:20.175,11.0,12
01:11.596,4,MEDIUM,4.0,True,1,1,20.4,34.0,False,30.2,13,raikkonen,1:18.913,latifi,1:19.516,11.0,12
01:12.715,5,MEDIUM,5.0,True,1,1,20.4,34.0,False,30.2,13,raikkonen,1:18.511,latifi,1:19.611,11.0,12
01:11.745,6,MEDIUM,6.0,True,1,1,20.4,34.0,False,29.9,13,raikkonen,1:18.927,latifi,1:18.950,11.0,12
01:11.711,7,MEDIUM,7.0,True,1,1,20.4,34.0,False,29.9,13,raikkonen,1:18.716,latifi,1:18.494,11.0,12
01:11.525,8,MEDIUM,8.0,True,1,1,20.4,35.0,False,29.4,13,raikkonen,1:18.490,latifi,1:18.804,11.0,12
01:11.770,9,MEDIUM,9.0,True,1,1,20.4,35.0,False,30.4,13,raikkonen,1:18.262,latifi,1:18.717,11.0,12
01:11.947,10,MEDIUM,10.0,True,1,1,20.3,35.0,False,30.8,13,raikkonen,1:18.193,latifi,1:18.558,11.0,12
01:12.194,11,MEDIUM,11.0,True,1,1,20.5,35.0,False,30.7,13,raikkonen,1:18.310,latifi,1:18.874,11.0,12
01:15.868,12,MEDIUM,12.0,True,1,1,20.5,35.0,False,29.8,13,raikkonen,1:17.445,latifi,1:18.998,11.0,12
01:28.179,13,HARD,1.0,False,1,2,20.4,36.0,False,29.5,13,raikkonen,1:17.969,latifi,1:17.617,11.0,44
01:11.216,14,HARD,1.0,True,1,3,20.4,35.0,False,29.3,13,raikkonen,1:17.629,latifi,1:18.328,11.0,44
01:11.457,15,HARD,2.0,True,1,3,20.3,36.0,False,29.1,13,raikkonen,1:17.283,latifi,1:18.433,11.0,44
01:10.801,16,HARD,3.0,True,1,3,20.1,36.0,False,29.0,13,raikkonen,1:17.064,latifi,1:18.460,11.0,44
01:10.924,17,HARD,4.0,True,1,3,20.0,37.0,False,28.8,13,raikkonen,1:17.241,latifi,1:18.299,11.0,44
01:10.664,18,HARD,5.0,True,1,3,19.8,37.0,False,28.5,13,raikkonen,1:17.221,latifi,1:17.966,11.0,44
01:12.068,19,HARD,6.0,True,1,3,19.8,37.0,False,28.5,13,raikkonen,1:17.055,latifi,1:18.132,11.0,44
01:10.915,20,HARD,7.0,True,1,3,19.8,37.0,False,28.8,13,raikkonen,1:17.581,latifi,1:18.305,11.0,44
01:11.617,21,HARD,8.0,True,1,3,19.8,36.0,False,28.8,13,raikkonen,1:17.306,latifi,1:18.373,11.0,44
01:11.539,22,HARD,9.0,True,1,3,19.9,36.0,False,28.8,13,raikkonen,1:17.390,latifi,1:18.035,11.0,44
01:12.103,23,HARD,10.0,True,1,3,20.1,36.0,False,29.8,13,raikkonen,1:16.708,latifi,1:18.051,11.0,44
01:12.238,24,HARD,11.0,True,1,3,20.1,34.0,False,29.8,13,raikkonen,1:17.425,latifi,1:18.140,11.0,44
01:11.771,25,HARD,12.0,True,1,3,20.2,35.0,False,29.4,13,raikkonen,1:17.073,latifi,1:18.014,11.0,44
01:11.546,26,HARD,13.0,True,1,3,20.2,35.0,False,29.4,13,raikkonen,1:16.902,latifi,1:17.989,11.0,44
01:11.942,27,HARD,14.0,True,1,3,20.2,36.0,False,29.9,13,raikkonen,1:17.098,latifi,1:18.447,11.0,44
01:11.542,28,HARD,15.0,True,1,3,20.4,34.0,False,30.4,13,raikkonen,1:17.067,latifi,1:20.750,11.0,44
01:12.671,29,HARD,16.0,True,1,3,20.3,35.0,False,31.1,12,raikkonen,1:17.806,latifi,1:19.026,11.0,44
01:11.491,30,HARD,17.0,True,1,3,20.3,34.0,False,31.6,12,raikkonen,1:17.262,tsunoda,1:18.626,11.0,44
01:11.411,31,HARD,18.0,True,1,3,20.3,35.0,False,31.6,12,raikkonen,1:16.621,tsunoda,1:17.754,11.0,44
01:12.159,32,HARD,19.0,True,1,3,20.3,34.0,False,31.2,11,raikkonen,1:16.540,latifi,1:16.967,11.0,44
01:12.325,33,HARD,20.0,True,1,3,20.4,33.0,False,31.9,11,raikkonen,1:17.282,latifi,1:16.800,11.0,44
01:11.884,34,HARD,21.0,True,1,3,20.4,34.0,False,32.3,11,raikkonen,1:18.335,latifi,1:16.692,11.0,44
01:11.551,35,HARD,22.0,True,1,3,20.5,34.0,False,32.9,13,alonso,1:17.288,russell,1:15.802,11.0,44
