LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,AirTemp,Rainfall,TrackTemp,posicionActual,posicionSalida,circuitName,desgasteCircuito,vueltasCircuito,kmCircuitoTotales,nextPit
0,1.0,MEDIUM,1.0,True,1,1,20.8,False,43.4,14,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:21.498,2.0,MEDIUM,2.0,True,1,1,20.8,False,42.9,14,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:20.548,3.0,MEDIUM,3.0,True,1,1,21.0,False,42.7,14,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:20.121,4.0,MEDIUM,4.0,True,1,1,21.2,False,42.7,14,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:19.757,5.0,MEDIUM,5.0,True,1,1,21.2,False,42.7,14,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:18.825,6.0,MEDIUM,6.0,True,1,1,21.4,False,42.7,14,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:18.738,7.0,MEDIUM,7.0,True,1,1,21.4,False,42.7,14,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:18.254,8.0,MEDIUM,8.0,True,1,1,21.4,False,42.6,14,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:18.904,9.0,MEDIUM,9.0,True,1,1,21.4,False,42.2,14,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:18.147,10.0,MEDIUM,10.0,True,1,1,21.3,False,42.2,14,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:18.778,11.0,MEDIUM,11.0,True,1,1,21.3,False,42.0,14,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:18.414,12.0,MEDIUM,12.0,True,1,1,21.3,False,41.3,14,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:17.807,13.0,MEDIUM,13.0,True,1,1,21.3,False,41.1,14,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:17.529,14.0,MEDIUM,14.0,True,1,1,21.2,False,40.8,14,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:17.803,15.0,MEDIUM,15.0,True,1,1,21.2,False,40.8,14,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:17.840,16.0,MEDIUM,16.0,True,1,1,21.0,False,39.6,14,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:17.414,17.0,MEDIUM,17.0,True,1,1,21.0,False,39.6,14,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:17.636,18.0,MEDIUM,18.0,True,1,1,21.0,False,39.9,14,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:17.810,19.0,MEDIUM,19.0,True,1,1,21.1,False,40.4,14,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:17.648,20.0,MEDIUM,20.0,True,1,1,21.3,False,40.3,14,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:17.823,21.0,MEDIUM,21.0,True,1,1,21.3,False,40.0,14,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:17.805,22.0,MEDIUM,22.0,True,1,1,21.2,False,40.5,14,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:17.864,23.0,MEDIUM,23.0,True,1,1,21.4,False,40.5,14,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:17.891,24.0,MEDIUM,24.0,True,1,1,21.5,False,40.0,14,17.0,Circuit de Monaco,Medio,78,260.286,45.0
