LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,AirTemp,Rainfall,TrackTemp,posicionActual,posicionSalida,circuitName,desgasteCircuito,vueltasCircuito,kmCircuitoTotales,nextPit
0,1.0,MEDIUM,1.0,True,1,1,20.8,False,43.4,12,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:20.858,2.0,MEDIUM,2.0,True,1,1,20.8,False,42.9,12,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:19.846,3.0,MEDIUM,3.0,True,1,1,21.0,False,42.7,12,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:19.102,4.0,MEDIUM,4.0,True,1,1,21.2,False,42.7,12,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:18.913,5.0,MEDIUM,5.0,True,1,1,21.2,False,42.7,12,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:18.511,6.0,MEDIUM,6.0,True,1,1,21.4,False,42.7,12,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:18.927,7.0,MEDIUM,7.0,True,1,1,21.4,False,42.7,12,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:18.716,8.0,MEDIUM,8.0,True,1,1,21.4,False,42.6,12,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:18.490,9.0,MEDIUM,9.0,True,1,1,21.4,False,42.2,12,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:18.262,10.0,MEDIUM,10.0,True,1,1,21.3,False,42.2,12,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:18.193,11.0,MEDIUM,11.0,True,1,1,21.3,False,42.0,12,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:18.310,12.0,MEDIUM,12.0,True,1,1,21.3,False,42.0,12,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:17.445,13.0,MEDIUM,13.0,True,1,1,21.3,False,41.1,12,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:17.969,14.0,MEDIUM,14.0,True,1,1,21.2,False,40.8,12,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:17.629,15.0,MEDIUM,15.0,True,1,1,21.2,False,40.8,12,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:17.283,16.0,MEDIUM,16.0,True,1,1,21.0,False,39.6,12,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:17.064,17.0,MEDIUM,17.0,True,1,1,21.0,False,39.6,12,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:17.241,18.0,MEDIUM,18.0,True,1,1,21.0,False,39.9,12,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:17.221,19.0,MEDIUM,19.0,True,1,1,21.1,False,40.4,12,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:17.055,20.0,MEDIUM,20.0,True,1,1,21.3,False,40.3,12,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:17.581,21.0,MEDIUM,21.0,True,1,1,21.3,False,40.0,12,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:17.306,22.0,MEDIUM,22.0,True,1,1,21.2,False,40.5,12,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:17.390,23.0,MEDIUM,23.0,True,1,1,21.4,False,40.5,12,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:16.708,24.0,MEDIUM,24.0,True,1,1,21.5,False,40.0,12,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:17.425,25.0,MEDIUM,25.0,True,1,1,21.3,False,39.6,12,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:17.073,26.0,MEDIUM,26.0,True,1,1,21.0,False,39.4,12,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:16.902,27.0,MEDIUM,27.0,True,1,1,20.9,False,37.8,12,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:17.098,28.0,MEDIUM,28.0,True,1,1,21.0,False,37.3,12,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:17.067,29.0,MEDIUM,29.0,True,1,1,20.8,False,36.7,12,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:17.806,30.0,MEDIUM,30.0,True,1,1,20.7,False,35.9,11,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:17.262,31.0,MEDIUM,31.0,True,1,1,20.6,False,35.5,11,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:16.621,32.0,MEDIUM,32.0,True,1,1,20.4,False,35.4,11,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:16.540,33.0,MEDIUM,33.0,True,1,1,20.3,False,35.3,10,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:17.282,34.0,MEDIUM,34.0,True,1,1,20.4,False,35.0,10,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:18.335,35.0,MEDIUM,35.0,True,1,1,20.4,False,35.0,10,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:17.663,36.0,MEDIUM,36.0,True,1,1,20.5,False,35.0,10,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:16.386,37.0,MEDIUM,37.0,True,1,1,20.3,False,34.9,9,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:16.951,38.0,MEDIUM,38.0,True,1,1,20.3,False,34.3,9,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:16.565,39.0,MEDIUM,39.0,True,1,1,20.3,False,34.3,9,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:16.815,40.0,MEDIUM,40.0,True,1,1,20.4,False,34.5,9,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:16.901,41.0,MEDIUM,41.0,True,1,1,20.4,False,34.7,9,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:16.450,42.0,MEDIUM,42.0,True,1,1,20.4,False,34.5,9,14.0,Circuit de Monaco,Medio,78,260.286,43.0
01:33.514,43.0,MEDIUM,43.0,True,1,1,20.4,False,34.4,11,14.0,Circuit de Monaco,Medio,78,260.286,77.0
01:21.460,44.0,HARD,1.0,True,1,2,20.4,False,34.3,12,14.0,Circuit de Monaco,Medio,78,260.286,77.0
01:17.657,45.0,HARD,2.0,True,1,2,20.6,False,34.3,11,14.0,Circuit de Monaco,Medio,78,260.286,77.0
01:21.927,46.0,HARD,3.0,True,1,2,20.5,False,34.3,11,14.0,Circuit de Monaco,Medio,78,260.286,77.0
01:16.697,47.0,HARD,4.0,True,1,2,20.4,False,34.3,11,14.0,Circuit de Monaco,Medio,78,260.286,77.0
01:16.045,48.0,HARD,5.0,True,1,2,20.4,False,34.2,11,14.0,Circuit de Monaco,Medio,78,260.286,77.0
