LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,AirTemp,Rainfall,TrackTemp,posicionActual,posicionSalida,circuitName,desgasteCircuito,vueltasCircuito,kmCircuitoTotales,nextPit
0,1.0,MEDIUM,1.0,True,1,1,20.8,False,43.4,13,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:21.326,2.0,MEDIUM,2.0,True,1,1,20.8,False,42.9,13,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:19.874,3.0,MEDIUM,3.0,True,1,1,21.0,False,42.7,13,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:19.801,4.0,MEDIUM,4.0,True,1,1,21.2,False,42.7,13,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:19.588,5.0,MEDIUM,5.0,True,1,1,21.2,False,42.7,13,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:19.103,6.0,MEDIUM,6.0,True,1,1,21.4,False,42.7,13,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:18.304,7.0,MEDIUM,7.0,True,1,1,21.4,False,42.7,13,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:18.441,8.0,MEDIUM,8.0,True,1,1,21.4,False,42.6,13,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:18.385,9.0,MEDIUM,9.0,True,1,1,21.4,False,42.2,13,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:18.886,10.0,MEDIUM,10.0,True,1,1,21.3,False,42.2,13,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:18.625,11.0,MEDIUM,11.0,True,1,1,21.3,False,42.0,13,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:17.959,12.0,MEDIUM,12.0,True,1,1,21.3,False,42.0,13,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:17.624,13.0,MEDIUM,13.0,True,1,1,21.3,False,41.1,13,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:17.387,14.0,MEDIUM,14.0,True,1,1,21.2,False,40.8,13,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:17.227,15.0,MEDIUM,15.0,True,1,1,21.2,False,40.8,13,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:17.614,16.0,MEDIUM,16.0,True,1,1,21.0,False,39.6,13,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:17.049,17.0,MEDIUM,17.0,True,1,1,21.0,False,39.6,13,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:17.092,18.0,MEDIUM,18.0,True,1,1,21.0,False,39.9,13,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:17.204,19.0,MEDIUM,19.0,True,1,1,21.1,False,40.4,13,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:17.704,20.0,MEDIUM,20.0,True,1,1,21.3,False,40.3,13,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:17.945,21.0,MEDIUM,21.0,True,1,1,21.3,False,40.0,13,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:17.708,22.0,MEDIUM,22.0,True,1,1,21.2,False,40.5,13,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:17.669,23.0,MEDIUM,23.0,True,1,1,21.4,False,40.5,13,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:17.260,24.0,MEDIUM,24.0,True,1,1,21.5,False,40.0,13,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:17.125,25.0,MEDIUM,25.0,True,1,1,21.3,False,39.6,13,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:17.165,26.0,MEDIUM,26.0,True,1,1,21.0,False,38.0,13,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:17.436,27.0,MEDIUM,27.0,True,1,1,20.9,False,37.8,13,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:17.460,28.0,MEDIUM,28.0,True,1,1,21.0,False,37.3,13,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:17.202,29.0,MEDIUM,29.0,True,1,1,20.8,False,36.7,13,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:16.990,30.0,MEDIUM,30.0,True,1,1,20.7,False,35.9,12,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:17.699,31.0,MEDIUM,31.0,True,1,1,20.6,False,35.5,12,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:17.468,32.0,MEDIUM,32.0,True,1,1,20.4,False,35.4,12,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:17.638,33.0,MEDIUM,33.0,True,1,1,20.4,False,35.3,11,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:17.900,34.0,MEDIUM,34.0,True,1,1,20.4,False,35.0,11,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:18.265,35.0,MEDIUM,35.0,True,1,1,20.4,False,35.0,11,12.0,Circuit de Monaco,Medio,78,260.286,36.0
01:35.412,36.0,MEDIUM,36.0,True,1,1,20.4,False,34.5,13,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:21.447,37.0,HARD,1.0,True,1,2,20.3,False,34.9,13,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:16.217,38.0,HARD,2.0,True,1,2,20.3,False,34.3,13,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:15.205,39.0,HARD,3.0,True,1,2,20.4,False,34.5,13,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:15.457,40.0,HARD,4.0,True,1,2,20.4,False,34.8,13,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:14.856,41.0,HARD,5.0,True,1,2,20.4,False,34.7,13,12.0,Circuit de Monaco,Medio,78,260.286,77.0
