LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,AirTemp,Rainfall,TrackTemp,posicionActual,posicionSalida,circuitName,desgasteCircuito,vueltasCircuito,kmCircuitoTotales,nextPit
0,1,SOFT,4.0,False,1,1,21.5,False,31.7,10,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,21
01:26.882,2,SOFT,5.0,False,1,1,21.7,False,31.6,10,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,21
01:25.698,3,SOFT,6.0,False,1,1,21.7,False,31.8,10,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,21
01:25.097,4,SOFT,7.0,False,1,1,21.8,False,31.6,10,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,21
01:25.177,5,SOFT,8.0,False,1,1,21.8,False,31.6,10,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,21
01:25.115,6,SOFT,9.0,False,1,1,21.7,False,31.4,10,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,21
01:24.966,7,SOFT,10.0,False,2,1,21.7,False,30.8,10,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,21
01:34.310,8,SOFT,11.0,False,24,1,21.7,False,31.0,10,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,21
01:57.266,9,SOFT,12.0,False,4,1,21.7,False,31.0,10,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,21
02:11.431,10,SOFT,13.0,False,4,1,21.8,False,31.4,10,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,21
01:28.119,11,SOFT,14.0,False,1,1,21.9,False,31.6,11,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,21
01:26.158,12,SOFT,15.0,False,1,1,21.9,False,32.2,11,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,21
01:25.340,13,SOFT,16.0,False,1,1,22.0,False,32.5,11,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,21
01:25.556,14,SOFT,17.0,False,1,1,22.0,False,32.7,11,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,21
01:25.459,15,SOFT,18.0,False,1,1,22.3,False,32.7,11,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,21
01:25.438,16,SOFT,19.0,False,1,1,22.3,False,32.4,11,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,21
01:25.157,17,SOFT,20.0,False,1,1,22.3,False,32.4,11,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,21
01:25.634,18,SOFT,21.0,False,1,1,22.3,False,32.2,11,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,21
01:25.195,19,SOFT,22.0,False,1,1,22.4,False,32.2,11,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,21
01:25.331,20,SOFT,23.0,False,1,1,22.4,False,32.2,11,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,21
01:28.466,21,SOFT,24.0,False,1,1,22.4,False,32.1,11,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,21
01:42.352,22,MEDIUM,1.0,True,1,2,22.3,False,31.9,16,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:23.886,23,MEDIUM,2.0,True,1,2,22.2,False,31.9,15,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:23.858,24,MEDIUM,3.0,True,1,2,22.0,False,31.9,15,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:24.705,25,MEDIUM,4.0,True,1,2,22.1,False,31.9,15,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:24.733,26,MEDIUM,5.0,True,1,2,22.4,False,32.6,15,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:24.418,27,MEDIUM,6.0,True,1,2,22.5,False,32.9,15,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:24.591,28,MEDIUM,7.0,True,1,2,22.7,False,33.8,14,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:25.604,29,MEDIUM,8.0,True,1,2,22.7,False,34.0,13,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:24.274,30,MEDIUM,9.0,True,1,2,22.7,False,34.4,12,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:24.089,31,MEDIUM,10.0,True,1,2,22.9,False,34.7,12,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:24.484,32,MEDIUM,11.0,True,1,2,22.6,False,34.4,12,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:24.187,33,MEDIUM,12.0,True,1,2,22.8,False,33.3,12,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:24.102,34,MEDIUM,13.0,True,1,2,22.8,False,33.6,12,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:24.106,35,MEDIUM,14.0,True,1,2,22.7,False,33.6,12,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:24.329,36,MEDIUM,15.0,True,1,2,22.6,False,32.7,12,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:24.377,37,MEDIUM,16.0,True,1,2,22.6,False,32.9,11,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:24.032,38,MEDIUM,17.0,True,1,2,22.5,False,33.2,11,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:24.046,39,MEDIUM,18.0,True,1,2,22.5,False,33.0,10,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:23.944,40,MEDIUM,19.0,True,1,2,22.5,False,33.0,10,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:24.011,41,MEDIUM,20.0,True,1,2,22.4,False,32.5,10,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:24.120,42,MEDIUM,21.0,True,1,2,22.4,False,32.5,10,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:23.968,43,MEDIUM,22.0,True,1,2,22.4,False,32.8,10,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:23.923,44,MEDIUM,23.0,True,1,2,22.4,False,32.6,10,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:24.040,45,MEDIUM,24.0,True,1,2,22.4,False,32.5,10,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:24.205,46,MEDIUM,25.0,True,1,2,22.3,False,32.5,10,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:24.423,47,MEDIUM,26.0,True,1,2,22.3,False,32.5,10,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:25.825,48,MEDIUM,27.0,True,1,2,22.5,False,32.7,10,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:24.350,49,MEDIUM,28.0,True,1,2,22.4,False,32.9,10,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:24.342,50,MEDIUM,29.0,True,1,2,22.2,False,32.9,10,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:24.861,51,MEDIUM,30.0,True,1,2,22.3,False,33.2,10,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:24.596,52,MEDIUM,31.0,True,1,2,22.4,False,33.2,9,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:25.347,53,MEDIUM,32.0,True,1,2,22.5,False,34.0,9,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:24.629,54,MEDIUM,33.0,True,1,2,22.6,False,35.2,9,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:25.543,55,MEDIUM,34.0,True,1,2,22.7,False,35.4,9,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:25.384,56,MEDIUM,35.0,True,1,2,22.7,False,36.0,10,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:25.150,57,MEDIUM,36.0,True,1,2,22.7,False,36.2,10,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:25.336,58,MEDIUM,37.0,True,1,2,23.0,False,36.1,10,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:25.706,59,MEDIUM,38.0,True,1,2,23.2,False,35.8,10,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:27.797,60,MEDIUM,39.0,True,1,2,23.1,False,35.8,10,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,61
01:31.873,61,MEDIUM,40.0,True,1,2,23.1,False,35.8,15,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,65
01:46.209,62,SOFT,4.0,False,1,3,23.2,False,36.1,17,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,65
01:21.182,63,SOFT,5.0,False,1,3,23.2,False,35.9,17,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,65
01:23.452,64,SOFT,6.0,False,1,3,23.3,False,35.6,17,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,65
01:21.355,65,SOFT,7.0,False,1,3,23.3,False,35.4,17,10.0,Circuit de Barcelona-Catalunya,Alto,66,307.104,65
