LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,AirTemp,Humidity,Rainfall,TrackTemp,posicionActual,pilotoDelante,tiempoPilotoDelante,pilotoDetras,tiempoPilotoDetras,posicionSalida,nextPit
0,1,,,,1,,22.7,38.1,False,47.4,13,sainz,1:18.889,ericsson,1:20.629,16.0,27
01:13.062,2,SUPERSOFT,1.0,True,2,1.0,22.7,37.4,False,47.4,13,stroll,1:13.397,ericsson,1:14.012,16.0,27
01:11.715,3,SUPERSOFT,2.0,True,1,1.0,22.7,37.4,False,47.4,13,stroll,1:11.657,ericsson,1:11.412,16.0,27
01:11.123,4,SUPERSOFT,3.0,True,1,1.0,22.8,37.6,False,47.3,13,stroll,1:11.195,ericsson,1:11.356,16.0,27
01:11.171,5,SUPERSOFT,4.0,True,1,1.0,22.9,36.9,False,46.9,13,stroll,1:11.036,ericsson,1:11.460,16.0,27
01:10.029,6,SUPERSOFT,5.0,True,1,1.0,23.2,36.9,False,47.1,12,sainz,1:10.624,gasly,1:12.341,16.0,27
01:10.361,7,SUPERSOFT,6.0,True,1,1.0,23.5,37.1,False,47.1,12,sainz,1:10.478,gasly,1:11.014,16.0,27
01:10.523,8,SUPERSOFT,7.0,True,1,1.0,23.6,37.7,False,47.2,12,sainz,1:10.671,gasly,1:11.290,16.0,27
01:10.574,9,SUPERSOFT,8.0,True,1,1.0,23.8,36.2,False,47.2,12,sainz,1:10.577,gasly,1:11.736,16.0,27
01:10.786,10,SUPERSOFT,9.0,True,1,1.0,23.6,36.3,False,47.2,12,sainz,1:10.590,gasly,1:11.169,16.0,27
01:10.341,11,SUPERSOFT,10.0,True,1,1.0,23.5,36.7,False,47.0,11,sainz,1:10.650,sirotkin,1:10.996,16.0,27
01:10.720,12,SUPERSOFT,11.0,True,2,1.0,22.8,37.0,False,46.9,10,ocon,1:10.420,gasly,1:11.358,16.0,27
01:10.402,13,SUPERSOFT,12.0,True,1,1.0,22.7,37.4,False,47.0,10,ocon,1:10.424,gasly,1:10.827,16.0,27
01:10.148,14,SUPERSOFT,13.0,True,2,1.0,23.0,37.2,False,46.4,9,ocon,1:10.416,gasly,1:15.150,16.0,27
01:37.598,15,SUPERSOFT,14.0,True,26,1.0,23.0,37.4,False,46.7,10,sainz,1:35.806,sirotkin,1:35.433,16.0,27
01:16.355,16,SUPERSOFT,15.0,True,67,1.0,22.5,38.5,False,46.6,7,kevin_magnussen,1:21.372,sainz,1:28.431,16.0,27
01:09.409,17,SUPERSOFT,16.0,True,1,1.0,22.2,39.4,False,46.7,7,kevin_magnussen,1:09.462,sainz,1:09.189,16.0,27
01:09.977,18,SUPERSOFT,17.0,True,1,1.0,22.2,39.4,False,46.7,7,kevin_magnussen,1:09.723,sainz,1:09.654,16.0,27
01:10.150,19,SUPERSOFT,18.0,True,1,1.0,22.6,39.5,False,46.7,7,kevin_magnussen,1:09.663,sainz,1:09.629,16.0,27
01:10.616,20,SUPERSOFT,19.0,True,1,1.0,22.9,38.0,False,46.7,7,kevin_magnussen,1:09.673,sainz,1:09.594,16.0,27
01:09.729,21,SUPERSOFT,20.0,True,1,1.0,23.1,38.3,False,46.4,7,kevin_magnussen,1:09.756,sainz,1:09.551,16.0,27
01:09.805,22,SUPERSOFT,21.0,True,1,1.0,23.2,37.5,False,45.3,7,kevin_magnussen,1:09.864,sainz,1:09.658,16.0,27
01:09.811,23,SUPERSOFT,22.0,True,1,1.0,22.7,38.5,False,44.6,7,kevin_magnussen,1:09.860,sainz,1:09.766,16.0,27
