LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,pilotoDelante,tiempoPilotoDelante,pilotoDetras,tiempoPilotoDetras,posicionSalida,nextPit
0,1,,,,1,,22.7,False,38.1,47.4,13,sainz,1:18.889,leclerc,1:19.755,16.0,27
01:13.062,2,SUPERSOFT,1.0,True,2,1.0,22.7,False,37.4,47.4,13,stroll,1:13.397,gasly,1:13.059,16.0,27
01:11.715,3,SUPERSOFT,2.0,True,1,1.0,22.7,False,37.4,47.4,13,stroll,1:11.657,gasly,1:11.444,16.0,27
01:11.123,4,SUPERSOFT,3.0,True,1,1.0,22.8,False,37.6,47.3,13,stroll,1:11.195,gasly,1:11.165,16.0,27
01:11.171,5,SUPERSOFT,4.0,True,1,1.0,22.9,False,36.9,46.9,13,stroll,1:11.036,sirotkin,1:11.407,16.0,27
01:10.029,6,SUPERSOFT,5.0,True,1,1.0,23.2,False,36.9,47.1,12,sainz,1:10.624,stroll,1:11.832,16.0,27
01:10.361,7,SUPERSOFT,6.0,True,1,1.0,23.5,False,37.1,47.1,12,sainz,1:10.478,stroll,1:10.974,16.0,27
01:10.523,8,SUPERSOFT,7.0,True,1,1.0,23.6,False,37.7,47.2,12,sainz,1:10.671,stroll,1:10.943,16.0,27
01:10.574,9,SUPERSOFT,8.0,True,1,1.0,23.8,False,36.2,47.2,12,sainz,1:10.577,stroll,1:10.763,16.0,27
01:10.786,10,SUPERSOFT,9.0,True,1,1.0,23.6,False,36.3,47.2,12,sainz,1:10.590,stroll,1:10.994,16.0,27
01:10.341,11,SUPERSOFT,10.0,True,1,1.0,23.5,False,36.7,47.0,11,sainz,1:10.650,hulkenberg,1:14.107,16.0,27
01:10.720,12,SUPERSOFT,11.0,True,2,1.0,22.8,False,37.0,46.9,10,ocon,1:10.420,sainz,1:12.096,16.0,27
01:10.402,13,SUPERSOFT,12.0,True,1,1.0,22.7,False,37.4,47.0,10,ocon,1:10.424,sainz,1:10.630,16.0,27
01:10.148,14,SUPERSOFT,13.0,True,2,1.0,23.0,False,37.2,46.4,9,ocon,1:10.416,sainz,1:10.216,16.0,27
01:37.598,15,SUPERSOFT,14.0,True,26,1.0,23.0,False,37.4,46.7,10,sainz,1:35.806,stroll,1:38.829,16.0,27
01:16.355,16,SUPERSOFT,15.0,True,67,1.0,22.5,False,38.5,46.6,7,kevin_magnussen,1:21.372,grosjean,1:32.147,16.0,27
01:09.409,17,SUPERSOFT,16.0,True,1,1.0,22.2,False,39.4,46.7,7,kevin_magnussen,1:09.462,grosjean,1:09.071,16.0,27
01:09.977,18,SUPERSOFT,17.0,True,1,1.0,22.2,False,39.4,46.7,7,kevin_magnussen,1:09.723,grosjean,1:09.688,16.0,27
01:10.150,19,SUPERSOFT,18.0,True,1,1.0,22.6,False,39.5,46.7,7,kevin_magnussen,1:09.663,grosjean,1:09.690,16.0,27
01:10.616,20,SUPERSOFT,19.0,True,1,1.0,22.9,False,38.0,46.7,7,kevin_magnussen,1:09.673,grosjean,1:09.770,16.0,27
01:09.729,21,SUPERSOFT,20.0,True,1,1.0,23.1,False,38.3,46.4,7,kevin_magnussen,1:09.756,grosjean,1:09.864,16.0,27
01:09.805,22,SUPERSOFT,21.0,True,1,1.0,23.2,False,37.5,45.3,7,kevin_magnussen,1:09.864,grosjean,1:09.794,16.0,27
01:09.811,23,SUPERSOFT,22.0,True,1,1.0,22.7,False,38.5,44.6,7,kevin_magnussen,1:09.860,grosjean,1:09.665,16.0,27
01:09.782,24,SUPERSOFT,23.0,True,1,1.0,22.8,False,38.3,44.2,7,kevin_magnussen,1:09.518,grosjean,1:09.277,16.0,27
01:09.400,25,SUPERSOFT,24.0,True,1,1.0,22.8,False,38.4,45.1,7,kevin_magnussen,1:09.508,grosjean,1:09.558,16.0,27
01:09.436,26,SUPERSOFT,25.0,True,1,1.0,23.1,False,38.3,45.2,7,kevin_magnussen,1:09.349,grosjean,1:09.714,16.0,27
01:12.843,27,SUPERSOFT,26.0,True,1,1.0,22.6,False,38.7,45.4,8,grosjean,1:09.509,ocon,1:09.807,16.0,70
01:27.041,28,SOFT,1.0,True,1,2.0,22.8,False,38.1,45.5,11,ericsson,1:09.795,gasly,1:09.781,16.0,70
01:09.310,29,SOFT,2.0,True,1,2.0,22.9,False,38.3,45.4,11,ericsson,1:09.760,gasly,1:09.737,16.0,70
01:09.098,30,SOFT,3.0,True,1,2.0,22.7,False,38.2,45.5,10,kevin_magnussen,1:08.531,ericsson,1:11.066,16.0,70
01:09.291,31,SOFT,4.0,True,1,2.0,22.9,False,38.4,46.1,10,kevin_magnussen,1:09.796,ericsson,1:09.521,16.0,70
01:09.449,32,SOFT,5.0,True,1,2.0,23.3,False,37.6,46.1,10,sainz,1:11.897,ericsson,1:10.046,16.0,70
01:09.692,33,SOFT,6.0,True,1,2.0,23.4,False,37.3,45.7,10,sainz,1:11.344,ericsson,1:10.059,16.0,70
01:09.338,34,SOFT,7.0,True,1,2.0,23.4,False,36.4,45.7,9,kevin_magnussen,1:09.230,ericsson,1:10.383,16.0,70
01:09.536,35,SOFT,8.0,True,1,2.0,23.0,False,37.2,45.7,9,kevin_magnussen,1:09.491,ericsson,1:09.498,16.0,70
01:09.331,36,SOFT,9.0,True,1,2.0,22.9,False,37.7,45.7,9,kevin_magnussen,1:09.596,ericsson,1:09.494,16.0,70
01:09.545,37,SOFT,10.0,True,1,2.0,23.2,False,37.0,45.7,9,kevin_magnussen,1:09.711,ericsson,1:09.340,16.0,70
01:09.705,38,SOFT,11.0,True,1,2.0,23.1,False,36.6,45.9,9,kevin_magnussen,1:09.665,ericsson,1:09.387,16.0,70
01:09.203,39,SOFT,12.0,True,1,2.0,23.4,False,36.9,46.0,9,kevin_magnussen,1:09.284,ericsson,1:09.203,16.0,70
01:09.605,40,SOFT,13.0,True,1,2.0,23.7,False,35.4,46.1,9,kevin_magnussen,1:09.490,ericsson,1:09.170,16.0,70
01:09.778,41,SOFT,14.0,True,1,2.0,23.7,False,34.7,46.0,9,kevin_magnussen,1:09.113,ericsson,1:09.357,16.0,70
