LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,pilotoDelante,tiempoPilotoDelante,pilotoDetras,tiempoPilotoDetras,posicionSalida,nextPit
0,1,,,,1,,23.2,False,36.7,47.9,5,raikkonen,1:15.737,grosjean,1:16.540,7.0,15
01:10.661,2,SUPERSOFT,4.0,False,2,1.0,22.7,False,37.4,47.4,5,raikkonen,1:10.489,grosjean,1:11.320,7.0,15
01:10.348,3,SUPERSOFT,5.0,False,1,1.0,22.7,False,37.4,47.4,5,raikkonen,1:09.891,vettel,1:10.885,7.0,15
01:09.946,4,SUPERSOFT,6.0,False,1,1.0,22.8,False,37.6,47.3,5,raikkonen,1:09.837,vettel,1:10.226,7.0,15
01:09.758,5,SUPERSOFT,7.0,False,1,1.0,22.9,False,36.9,46.9,5,raikkonen,1:09.969,vettel,1:09.713,7.0,15
01:09.594,6,SUPERSOFT,8.0,False,1,1.0,23.2,False,36.6,46.9,5,raikkonen,1:09.848,vettel,1:09.781,7.0,15
01:09.896,7,SUPERSOFT,9.0,False,1,1.0,23.5,False,37.1,47.1,5,raikkonen,1:09.928,vettel,1:09.285,7.0,15
01:09.683,8,SUPERSOFT,10.0,False,1,1.0,23.6,False,37.7,47.2,5,raikkonen,1:09.890,vettel,1:09.816,7.0,15
01:09.628,9,SUPERSOFT,11.0,False,1,1.0,23.8,False,36.2,47.2,5,raikkonen,1:09.465,vettel,1:09.264,7.0,15
01:09.719,10,SUPERSOFT,12.0,False,1,1.0,23.6,False,36.3,47.2,5,raikkonen,1:09.582,vettel,1:09.375,7.0,15
01:09.387,11,SUPERSOFT,13.0,False,1,1.0,23.5,False,36.7,47.0,5,raikkonen,1:09.438,vettel,1:09.664,7.0,15
01:09.365,12,SUPERSOFT,14.0,False,2,1.0,23.1,False,37.4,46.9,5,raikkonen,1:08.954,vettel,1:09.329,7.0,15
01:09.882,13,SUPERSOFT,15.0,False,2,1.0,22.8,False,37.0,46.9,5,raikkonen,1:09.874,vettel,1:10.303,7.0,15
01:09.135,14,SUPERSOFT,16.0,False,2,1.0,23.0,False,37.2,46.4,4,raikkonen,1:09.238,vettel,1:09.232,7.0,15
01:28.735,15,SUPERSOFT,17.0,False,26,1.0,22.8,False,37.7,46.6,4,raikkonen,1:28.350,vettel,1:29.122,7.0,15
01:33.130,16,SOFT,1.0,True,67,2.0,22.5,False,38.5,46.6,4,raikkonen,1:33.640,vettel,1:36.112,7.0,38
01:08.228,17,SOFT,2.0,True,1,2.0,22.2,False,39.4,46.7,4,raikkonen,1:08.274,vettel,1:08.321,7.0,38
01:08.319,18,SOFT,3.0,True,1,2.0,22.2,False,39.4,46.7,4,raikkonen,1:08.409,vettel,1:08.743,7.0,38
01:08.558,19,SOFT,4.0,True,1,2.0,22.6,False,39.5,46.7,4,raikkonen,1:08.465,vettel,1:08.495,7.0,38
