LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,pilotoDelante,tiempoPilotoDelante,pilotoDetras,tiempoPilotoDetras,posicionSalida,nextPit
0,1.0,,,,24,,17.3,False,38.1,29.7,1,raikkonen,3:27.671,hamilton,2:31.397,2.0,1.0
0,2.0,,,,4,,17.7,False,38.1,30.3,1,ricciardo,8:44.604,hamilton,3:00.018,2.0,22.0
0,3.0,SUPERSOFT,5.0,False,4,2.0,18.1,False,36.1,30.0,1,ricciardo,1:53.818,hamilton,2:50.726,2.0,22.0
0,4.0,SUPERSOFT,6.0,False,4,2.0,17.9,False,35.6,29.3,1,ricciardo,1:53.982,hamilton,3:00.659,2.0,22.0
01:48.656,5.0,SUPERSOFT,7.0,False,1,2.0,17.6,False,35.3,29.1,1,ricciardo,1:52.627,hamilton,1:49.718,2.0,22.0
01:48.923,6.0,SUPERSOFT,8.0,False,1,2.0,17.3,False,34.5,28.9,1,ricciardo,1:53.142,hamilton,1:49.497,2.0,22.0
01:48.695,7.0,SUPERSOFT,9.0,False,1,2.0,17.4,False,35.0,28.8,1,ricciardo,1:52.540,hamilton,1:49.020,2.0,22.0
01:48.646,8.0,SUPERSOFT,10.0,False,1,2.0,17.2,False,35.4,28.4,1,ricciardo,1:51.204,hamilton,1:48.834,2.0,22.0
01:49.046,9.0,SUPERSOFT,11.0,False,1,2.0,17.0,False,37.6,28.3,1,ricciardo,1:51.677,hamilton,1:49.143,2.0,22.0
01:48.749,10.0,SUPERSOFT,12.0,False,1,2.0,17.2,False,37.4,28.4,1,ricciardo,1:50.547,hamilton,1:49.179,2.0,22.0
01:48.495,11.0,SUPERSOFT,13.0,False,1,2.0,17.3,False,36.1,27.9,1,ricciardo,1:50.549,hamilton,1:48.977,2.0,22.0
01:48.663,12.0,SUPERSOFT,14.0,False,1,2.0,17.1,False,36.5,27.6,1,ricciardo,1:50.872,hamilton,1:48.665,2.0,22.0
01:48.732,13.0,SUPERSOFT,15.0,False,1,2.0,17.0,False,37.1,27.5,1,ricciardo,1:50.540,hamilton,1:48.742,2.0,22.0
01:48.748,14.0,SUPERSOFT,16.0,False,1,2.0,17.5,False,37.5,27.5,1,ricciardo,1:50.383,hamilton,1:48.939,2.0,22.0
01:48.679,15.0,SUPERSOFT,17.0,False,1,2.0,17.6,False,37.4,27.5,1,ricciardo,1:50.671,hamilton,1:48.479,2.0,22.0
01:48.399,16.0,SUPERSOFT,18.0,False,1,2.0,17.5,False,36.6,27.3,1,ricciardo,1:50.146,hamilton,1:48.208,2.0,22.0
01:48.667,17.0,SUPERSOFT,19.0,False,1,2.0,17.4,False,37.4,27.2,1,ricciardo,1:50.816,hamilton,1:48.448,2.0,22.0
01:48.600,18.0,SUPERSOFT,20.0,False,1,2.0,17.0,False,38.2,27.0,1,ricciardo,1:49.399,hamilton,1:48.706,2.0,22.0
01:48.933,19.0,SUPERSOFT,21.0,False,1,2.0,17.3,False,38.7,27.1,1,ricciardo,1:49.644,hamilton,1:48.739,2.0,22.0
01:48.781,20.0,SUPERSOFT,22.0,False,1,2.0,17.3,False,36.1,27.1,1,ricciardo,1:50.130,hamilton,1:48.736,2.0,22.0
01:48.710,21.0,SUPERSOFT,23.0,False,1,2.0,17.3,False,35.9,27.1,1,ricciardo,1:50.178,hamilton,1:53.411,2.0,22.0
01:52.901,22.0,SUPERSOFT,24.0,False,1,2.0,17.1,False,36.9,27.1,1,ricciardo,1:49.334,max_verstappen,1:49.194,2.0,44.0
01:59.728,23.0,SOFT,1.0,True,1,3.0,17.1,False,37.3,27.2,1,ricciardo,1:49.618,hamilton,1:46.721,2.0,44.0
01:46.743,24.0,SOFT,2.0,True,1,3.0,17.3,False,37.1,27.1,1,ricciardo,1:49.365,hamilton,1:46.902,2.0,44.0
