LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,pilotoDelante,tiempoPilotoDelante,pilotoDetras,tiempoPilotoDetras,posicionSalida,nextPit
0,1.0,,,,24,,15.3,False,54.1,35.0,6,max_verstappen,1:53.164,kevin_magnussen,1:56.040,6.0,33.0
0,2.0,SOFT,4.0,False,4,1.0,16.0,True,52.9,35.0,6,max_verstappen,2:36.142,kevin_magnussen,2:35.896,6.0,33.0
02:13.445,3.0,SOFT,5.0,False,4,1.0,16.3,True,51.0,35.6,6,max_verstappen,2:13.094,kevin_magnussen,2:13.292,6.0,33.0
02:08.545,4.0,SOFT,6.0,False,4,1.0,15.9,True,52.0,34.0,6,max_verstappen,2:07.521,kevin_magnussen,2:08.069,6.0,33.0
02:10.178,5.0,SOFT,7.0,False,4,1.0,16.1,True,52.4,36.2,6,max_verstappen,2:11.713,kevin_magnussen,2:10.421,6.0,33.0
02:10.561,6.0,SOFT,8.0,False,4,1.0,16.7,False,51.5,36.6,6,max_verstappen,2:10.817,kevin_magnussen,2:10.231,6.0,33.0
01:27.165,7.0,SOFT,9.0,False,1,1.0,16.4,False,50.3,36.7,6,max_verstappen,1:25.139,kevin_magnussen,1:27.167,6.0,33.0
01:23.567,8.0,SOFT,10.0,False,1,1.0,16.5,True,51.0,36.5,6,max_verstappen,1:23.711,kevin_magnussen,1:25.039,6.0,33.0
01:22.746,9.0,SOFT,11.0,False,1,1.0,16.3,True,51.4,35.4,6,max_verstappen,1:23.025,kevin_magnussen,1:23.739,6.0,33.0
01:22.555,10.0,SOFT,12.0,False,1,1.0,16.2,True,51.0,35.1,6,max_verstappen,1:23.065,kevin_magnussen,1:23.548,6.0,33.0
01:22.573,11.0,SOFT,13.0,False,1,1.0,16.4,True,52.4,35.7,6,max_verstappen,1:22.627,kevin_magnussen,1:23.431,6.0,33.0
01:22.345,12.0,SOFT,14.0,False,1,1.0,16.6,True,50.7,36.3,6,max_verstappen,1:22.552,kevin_magnussen,1:23.576,6.0,33.0
01:22.243,13.0,SOFT,15.0,False,1,1.0,16.4,True,51.8,33.4,6,max_verstappen,1:22.611,kevin_magnussen,1:23.564,6.0,33.0
01:22.595,14.0,SOFT,16.0,False,1,1.0,16.4,True,51.8,33.2,6,max_verstappen,1:22.357,kevin_magnussen,1:23.467,6.0,33.0
01:22.454,15.0,SOFT,17.0,False,1,1.0,16.2,True,51.6,32.6,6,max_verstappen,1:22.242,kevin_magnussen,1:23.604,6.0,33.0
01:22.368,16.0,SOFT,18.0,False,1,1.0,16.0,True,53.0,32.2,6,max_verstappen,1:22.104,kevin_magnussen,1:23.363,6.0,33.0
01:22.497,17.0,SOFT,19.0,False,1,1.0,16.0,True,51.9,31.8,6,max_verstappen,1:22.115,kevin_magnussen,1:23.027,6.0,33.0
01:22.314,18.0,SOFT,20.0,False,1,1.0,15.8,True,52.8,31.4,5,max_verstappen,1:22.294,kevin_magnussen,1:23.077,6.0,33.0
01:22.283,19.0,SOFT,21.0,False,1,1.0,15.8,True,53.5,30.8,5,max_verstappen,1:21.964,kevin_magnussen,1:22.856,6.0,33.0
01:22.115,20.0,SOFT,22.0,False,1,1.0,15.8,True,53.8,30.8,4,max_verstappen,1:21.924,vettel,1:21.421,6.0,33.0
01:21.910,21.0,SOFT,23.0,False,1,1.0,15.9,True,53.3,30.6,4,max_verstappen,1:21.709,vettel,1:21.623,6.0,33.0
01:22.311,22.0,SOFT,24.0,False,1,1.0,15.7,False,52.8,29.7,4,max_verstappen,1:21.798,vettel,1:21.451,6.0,33.0
01:21.895,23.0,SOFT,25.0,False,1,1.0,15.7,True,53.3,30.2,4,max_verstappen,1:21.909,vettel,1:21.226,6.0,33.0
01:21.960,24.0,SOFT,26.0,False,1,1.0,15.7,True,53.3,29.8,4,raikkonen,1:25.384,vettel,1:21.449,6.0,33.0
01:21.736,25.0,SOFT,27.0,False,1,1.0,15.8,True,53.5,29.7,3,max_verstappen,1:21.290,vettel,1:21.235,6.0,33.0
01:22.592,26.0,SOFT,28.0,False,1,1.0,15.8,True,53.2,29.6,3,hamilton,1:40.689,vettel,1:21.040,6.0,33.0
01:22.008,27.0,SOFT,29.0,False,1,1.0,15.8,True,53.7,29.3,3,hamilton,1:20.131,vettel,1:20.864,6.0,33.0
01:22.041,28.0,SOFT,30.0,False,1,1.0,15.9,True,53.3,29.6,3,hamilton,1:20.711,vettel,1:20.929,6.0,33.0
01:22.459,29.0,SOFT,31.0,False,1,1.0,15.7,True,53.3,29.6,3,hamilton,1:20.713,vettel,1:21.419,6.0,33.0
01:21.403,30.0,SOFT,32.0,False,1,1.0,15.6,True,53.8,29.0,3,hamilton,1:21.074,vettel,1:21.202,6.0,33.0
01:21.285,31.0,SOFT,33.0,False,1,1.0,15.6,True,54.5,28.9,3,hamilton,1:20.948,vettel,1:21.585,6.0,33.0
01:21.312,32.0,SOFT,34.0,False,1,1.0,15.7,True,54.7,28.8,3,hamilton,1:21.600,vettel,1:21.040,6.0,33.0
01:24.538,33.0,SOFT,35.0,False,1,1.0,15.8,True,54.4,28.9,3,hamilton,1:21.228,vettel,1:20.716,6.0,66.0
01:39.339,34.0,MEDIUM,1.0,True,1,2.0,15.6,True,53.4,28.8,5,bottas,1:20.589,kevin_magnussen,1:21.246,6.0,66.0
01:20.850,35.0,MEDIUM,2.0,True,1,2.0,15.7,True,54.3,29.2,5,max_verstappen,1:39.586,kevin_magnussen,1:21.243,6.0,66.0
01:22.436,36.0,MEDIUM,3.0,True,1,2.0,15.8,True,53.6,30.3,5,max_verstappen,1:20.982,kevin_magnussen,1:21.421,6.0,66.0
01:21.170,37.0,MEDIUM,4.0,True,1,2.0,16.0,True,53.2,31.5,5,max_verstappen,1:20.825,kevin_magnussen,1:21.851,6.0,66.0
01:21.413,38.0,MEDIUM,5.0,True,1,2.0,16.1,True,52.2,31.7,5,max_verstappen,1:21.191,kevin_magnussen,1:21.645,6.0,66.0
01:20.805,39.0,MEDIUM,6.0,True,1,2.0,15.9,False,51.7,32.2,5,max_verstappen,1:20.720,kevin_magnussen,1:21.588,6.0,66.0
01:22.254,40.0,MEDIUM,7.0,True,26,2.0,16.0,True,53.1,31.3,5,max_verstappen,1:21.044,kevin_magnussen,1:41.289,6.0,66.0
02:02.589,41.0,MEDIUM,8.0,True,6,2.0,16.3,True,51.2,30.6,5,max_verstappen,2:01.224,kevin_magnussen,2:00.523,6.0,66.0
02:02.559,42.0,MEDIUM,9.0,True,672,2.0,15.9,True,52.3,30.6,5,vettel,2:12.006,kevin_magnussen,1:35.617,6.0,66.0
01:22.366,43.0,MEDIUM,10.0,True,1,2.0,16.0,True,53.6,31.2,5,vettel,1:22.267,kevin_magnussen,1:22.025,6.0,66.0
01:20.602,44.0,MEDIUM,11.0,True,1,2.0,16.1,True,52.4,33.0,5,vettel,1:20.475,kevin_magnussen,1:21.577,6.0,66.0
01:20.605,45.0,MEDIUM,12.0,True,1,2.0,16.2,True,52.4,33.4,5,vettel,1:20.093,kevin_magnussen,1:21.550,6.0,66.0
01:20.363,46.0,MEDIUM,13.0,True,1,2.0,16.5,True,51.9,34.0,5,vettel,1:20.182,kevin_magnussen,1:21.419,6.0,66.0
01:20.350,47.0,MEDIUM,14.0,True,1,2.0,16.8,True,49.9,32.3,5,vettel,1:21.139,kevin_magnussen,1:22.357,6.0,66.0
01:20.854,48.0,MEDIUM,15.0,True,1,2.0,16.8,True,49.7,31.9,5,vettel,1:20.947,kevin_magnussen,1:21.370,6.0,66.0
01:20.278,49.0,MEDIUM,16.0,True,1,2.0,16.3,True,49.5,31.3,5,vettel,1:20.151,kevin_magnussen,1:21.265,6.0,66.0
01:19.147,50.0,MEDIUM,17.0,True,1,2.0,15.9,True,51.5,31.1,5,vettel,1:20.915,kevin_magnussen,1:21.322,6.0,66.0
01:19.673,51.0,MEDIUM,18.0,True,1,2.0,15.8,True,51.2,31.4,5,vettel,1:20.079,kevin_magnussen,1:21.232,6.0,66.0
01:19.801,52.0,MEDIUM,19.0,True,1,2.0,15.8,True,52.2,31.4,5,vettel,1:19.581,kevin_magnussen,1:24.213,6.0,66.0
01:20.219,53.0,MEDIUM,20.0,True,1,2.0,16.0,True,51.7,30.7,5,vettel,1:19.833,kevin_magnussen,1:21.565,6.0,66.0
01:21.351,54.0,MEDIUM,21.0,True,1,2.0,16.2,True,51.5,31.7,5,vettel,1:20.397,kevin_magnussen,1:21.165,6.0,66.0
01:19.093,55.0,MEDIUM,22.0,True,1,2.0,15.9,True,51.1,32.5,5,vettel,1:19.564,kevin_magnussen,1:20.973,6.0,66.0
01:21.627,56.0,MEDIUM,23.0,True,1,2.0,16.5,True,51.0,33.2,5,vettel,1:19.667,kevin_magnussen,1:21.106,6.0,66.0
01:20.690,57.0,MEDIUM,24.0,True,1,2.0,16.7,True,50.4,33.2,5,vettel,1:19.674,kevin_magnussen,1:20.966,6.0,66.0
01:19.767,58.0,MEDIUM,25.0,True,1,2.0,16.7,True,50.4,33.2,5,vettel,1:19.781,kevin_magnussen,1:20.984,6.0,66.0
01:19.630,59.0,MEDIUM,26.0,True,1,2.0,16.7,False,50.4,32.4,5,vettel,1:19.435,kevin_magnussen,1:20.908,6.0,66.0
01:21.093,60.0,MEDIUM,27.0,True,1,2.0,16.8,False,50.2,32.3,5,vettel,1:19.819,kevin_magnussen,1:20.793,6.0,66.0
01:18.441,61.0,MEDIUM,28.0,True,1,2.0,17.0,False,49.1,32.4,5,vettel,1:19.128,kevin_magnussen,1:20.590,6.0,66.0
01:19.595,62.0,MEDIUM,29.0,True,1,2.0,17.1,False,49.6,31.6,5,vettel,1:19.904,kevin_magnussen,1:20.564,6.0,66.0
01:19.867,63.0,MEDIUM,30.0,True,1,2.0,17.0,False,49.5,30.9,5,vettel,1:19.767,kevin_magnussen,1:21.993,6.0,66.0
01:18.460,64.0,MEDIUM,31.0,True,1,2.0,16.9,False,49.5,30.7,5,vettel,1:19.310,kevin_magnussen,1:20.246,6.0,66.0
01:20.586,65.0,MEDIUM,32.0,True,1,2.0,16.5,False,51.2,29.8,5,vettel,1:19.859,kevin_magnussen,1:22.366,6.0,66.0
01:21.678,66.0,MEDIUM,33.0,True,1,2.0,16.0,False,52.4,29.1,NaN,NaN,NaN,NaN,NaN,6.0,66.0
0,1.0,SOFT,4.0,False,2,1.0,19.8,False,57.9,41.8,12,sainz,1:35.138,perez,1:36.385,13.0,24.0
01:26.364,2.0,SOFT,5.0,False,1,1.0,19.8,False,59.0,42.0,12,sainz,1:26.323,perez,1:26.549,13.0,24.0
01:25.278,3.0,SOFT,6.0,False,1,1.0,19.8,False,58.1,41.8,12,sainz,1:25.210,perez,1:25.829,13.0,24.0
01:24.611,4.0,SOFT,7.0,False,1,1.0,19.8,False,57.5,41.8,12,sainz,1:24.586,perez,1:25.141,13.0,24.0
01:24.595,5.0,SOFT,8.0,False,1,1.0,19.5,False,60.5,41.3,12,sainz,1:24.801,perez,1:24.826,13.0,24.0
01:24.993,6.0,SOFT,9.0,False,1,1.0,19.7,False,59.6,41.3,12,sainz,1:24.856,perez,1:24.721,13.0,24.0
01:24.798,7.0,SOFT,10.0,False,1,1.0,19.8,False,59.4,41.2,12,sainz,1:24.505,perez,1:24.712,13.0,24.0
