,LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,AirTemp,makeStop,Rainfall,Humidity,TrackTemp,posicionActual,pilotoDelante,tiempoPilotoDelante,pilotoDetras,tiempoPilotoDetras,posicionSalida,anyo,nextPit
2,1900-01-01 00:02:12.826,3.0,SOFT,4.0,False,4,1.0,16.3,1,True,51.0,35.6,1.0,sirotkin,2:14.646,vettel,2:13.906,1.0,2018,25.0
3,1900-01-01 00:02:08.778,4.0,SOFT,5.0,False,4,1.0,15.9,0,True,52.0,34.0,1.0,sirotkin,2:13.632,vettel,2:08.681,1.0,2018,25.0
4,1900-01-01 00:02:10.440,5.0,SOFT,6.0,False,4,1.0,16.1,0,True,52.4,36.2,1.0,sirotkin,2:07.410,vettel,2:09.827,1.0,2018,25.0
5,1900-01-01 00:02:13.880,6.0,SOFT,7.0,False,4,1.0,16.7,0,False,51.5,36.6,1.0,sirotkin,1:59.521,vettel,2:13.232,1.0,2018,25.0
6,1900-01-01 00:01:22.990,7.0,SOFT,8.0,False,1,1.0,16.4,0,False,50.3,36.7,1.0,brendon_hartley,1:30.479,vettel,1:23.604,1.0,2018,25.0
7,1900-01-01 00:01:21.631,8.0,SOFT,9.0,False,1,1.0,16.3,0,False,50.9,36.7,1.0,brendon_hartley,1:26.554,vettel,1:22.259,1.0,2018,25.0
8,1900-01-01 00:01:21.386,9.0,SOFT,10.0,False,1,1.0,16.3,0,True,51.4,35.4,1.0,brendon_hartley,1:25.665,vettel,1:22.475,1.0,2018,25.0
9,1900-01-01 00:01:21.790,10.0,SOFT,11.0,False,1,1.0,16.2,0,True,51.0,35.1,1.0,brendon_hartley,1:25.523,vettel,1:22.536,1.0,2018,25.0
10,1900-01-01 00:01:21.808,11.0,SOFT,12.0,False,1,1.0,16.4,0,True,52.4,35.7,1.0,brendon_hartley,1:25.151,vettel,1:22.300,1.0,2018,25.0
11,1900-01-01 00:01:21.810,12.0,SOFT,13.0,False,1,1.0,16.6,0,True,50.7,36.3,1.0,brendon_hartley,1:24.969,vettel,1:22.875,1.0,2018,25.0
12,1900-01-01 00:01:21.936,13.0,SOFT,14.0,False,1,1.0,16.5,0,True,50.2,35.8,1.0,brendon_hartley,1:25.515,vettel,1:22.320,1.0,2018,25.0
13,1900-01-01 00:01:21.574,14.0,SOFT,15.0,False,1,1.0,16.4,0,True,51.8,33.2,1.0,brendon_hartley,1:25.890,vettel,1:22.162,1.0,2018,25.0
14,1900-01-01 00:01:21.778,15.0,SOFT,16.0,False,1,1.0,16.2,0,True,51.6,32.6,1.0,brendon_hartley,1:24.707,vettel,1:22.231,1.0,2018,25.0
15,1900-01-01 00:01:21.562,16.0,SOFT,17.0,False,1,1.0,16.1,0,True,51.2,32.5,1.0,brendon_hartley,1:24.086,vettel,1:22.043,1.0,2018,25.0
16,1900-01-01 00:01:21.509,17.0,SOFT,18.0,False,1,1.0,16.0,0,True,51.9,31.8,1.0,brendon_hartley,1:24.194,bottas,1:21.956,1.0,2018,25.0
17,1900-01-01 00:01:21.328,18.0,SOFT,19.0,False,1,1.0,15.8,0,True,52.8,31.4,1.0,brendon_hartley,1:24.529,bottas,1:21.485,1.0,2018,25.0
18,1900-01-01 00:01:21.393,19.0,SOFT,20.0,False,1,1.0,15.9,0,True,52.8,31.1,1.0,brendon_hartley,1:24.758,bottas,1:24.219,1.0,2018,25.0
19,1900-01-01 00:01:21.334,20.0,SOFT,21.0,False,1,1.0,15.8,0,True,53.8,30.8,1.0,brendon_hartley,1:24.331,raikkonen,1:21.993,1.0,2018,25.0
20,1900-01-01 00:01:21.157,21.0,SOFT,22.0,False,1,1.0,15.9,0,True,53.3,30.6,1.0,stroll,1:41.230,raikkonen,1:21.963,1.0,2018,25.0
21,1900-01-01 00:01:20.849,22.0,SOFT,23.0,False,1,1.0,15.7,0,False,52.8,29.7,1.0,stroll,1:23.280,raikkonen,1:21.946,1.0,2018,25.0
