LapNumber,TyreLife,FreshTyre,TrackStatus,Stint,AirTemp,makeStop,Rainfall,Humidity,TrackTemp,posicionActual,tiempoPilotoDelante,tiempoPilotoDetras,posicionSalida,anyo,nextPit,Laptime,compound_MEDIUM,compound_SOFT
3.0,4.0,0,4,1.0,16.3,1,1,51.0,35.6,1.0,134.646,133.906,1.0,2018,25.0,132.826,0,1
4.0,5.0,0,4,1.0,15.9,0,1,52.0,34.0,1.0,133.632,128.681,1.0,2018,25.0,128.778,0,1
5.0,6.0,0,4,1.0,16.1,0,1,52.4,36.2,1.0,127.041,129.827,1.0,2018,25.0,130.44,0,1
6.0,7.0,0,4,1.0,16.7,0,0,51.5,36.6,1.0,119.521,133.232,1.0,2018,25.0,133.88,0,1
7.0,8.0,0,1,1.0,16.4,0,0,50.3,36.7,1.0,90.479,83.604,1.0,2018,25.0,82.99,0,1
8.0,9.0,0,1,1.0,16.3,0,0,50.9,36.7,1.0,86.554,82.259,1.0,2018,25.0,81.631,0,1
9.0,10.0,0,1,1.0,16.3,0,1,51.4,35.4,1.0,85.665,82.475,1.0,2018,25.0,81.386,0,1
10.0,11.0,0,1,1.0,16.2,0,1,51.0,35.1,1.0,85.523,82.536,1.0,2018,25.0,81.79,0,1
11.0,12.0,0,1,1.0,16.4,0,1,52.4,35.7,1.0,85.151,82.003,1.0,2018,25.0,81.808,0,1
12.0,13.0,0,1,1.0,16.6,0,1,50.7,36.3,1.0,84.969,82.875,1.0,2018,25.0,81.81,0,1
13.0,14.0,0,1,1.0,16.5,0,1,50.2,35.8,1.0,85.515,82.032,1.0,2018,25.0,81.936,0,1
14.0,15.0,0,1,1.0,16.4,0,1,51.8,33.2,1.0,85.089,82.162,1.0,2018,25.0,81.574,0,1
15.0,16.0,0,1,1.0,16.2,0,1,51.6,32.6,1.0,84.707,82.231,1.0,2018,25.0,81.778,0,1
16.0,17.0,0,1,1.0,16.1,0,1,51.2,32.5,1.0,84.086,82.043,1.0,2018,25.0,81.562,0,1
17.0,18.0,0,1,1.0,16.0,0,1,51.9,31.8,1.0,84.194,81.956,1.0,2018,25.0,81.509,0,1
18.0,19.0,0,1,1.0,15.8,0,1,52.8,31.4,1.0,84.529,81.485,1.0,2018,25.0,81.328,0,1
19.0,20.0,0,1,1.0,15.9,0,1,52.8,31.1,1.0,84.758,84.219,1.0,2018,25.0,81.393,0,1
20.0,21.0,0,1,1.0,15.8,0,1,53.8,30.8,1.0,84.331,81.993,1.0,2018,25.0,81.334,0,1
21.0,22.0,0,1,1.0,15.9,0,1,53.3,30.6,1.0,101.023,81.963,1.0,2018,25.0,81.157,0,1
